step,timestamp
service_announced,217
bid_received_1,9396
bid_received_1,9868
bid_received_1,10182
bid_received_1,10511
bid_received_1,10856
bid_received_1,11155
bid_received_1,11451
bid_received_1,11814
bid_received_1,12125
bid_received_1,12583
bid_received_1,13053
bid_received_1,13494
bid_received_2,13494
required_bids_received,13494
winner_choosen,13942
confirm_deployment_received,22449
establish_vxlan_connection_with_provider_start,22450
establish_vxlan_connection_with_provider_finished,22899
connection_test_success,24003
service_id,service4f5c22f7
