step,timestamp
announce_received_service8a6294d0,1110
announce_received_service74c83a68,1119
announce_received_service68fa5a83,1128
announce_received_serviceca7eddd4,1138
announce_received_service520ee7c7,1147
announce_received_servicefa343177,1157
announce_received_serviceb0ec4fb0,1166
announce_received_servicef8623356,1178
required_announces_received,1178
bid_offer_sent_service8a6294d0,1448
bid_offer_sent_service74c83a68,1556
bid_offer_sent_service68fa5a83,1640
bid_offer_sent_serviceca7eddd4,1723
bid_offer_sent_service520ee7c7,1805
bid_offer_sent_servicefa343177,1880
bid_offer_sent_serviceb0ec4fb0,1952
bid_offer_sent_servicef8623356,2023
all_bid_offers_sent,2024
winner_received_servicef8623356,10849
winner_received_serviceca7eddd4,10857
winner_received_service68fa5a83,10869
winner_received_service74c83a68,10884
winner_received_service8a6294d0,10905
winner_received_servicefa343177,10915
winner_received_service520ee7c7,10924
winner_received_serviceb0ec4fb0,10933
all_winners_received,10933
deployment_start_service8a6294d0,10942
deployment_finished_service8a6294d0,11598
confirm_deployment_sent_service8a6294d0,11658
deployment_start_service74c83a68,11686
deployment_finished_service74c83a68,12345
confirm_deployment_sent_service74c83a68,12412
deployment_start_service68fa5a83,12427
deployment_finished_service68fa5a83,13095
confirm_deployment_sent_service68fa5a83,13155
deployment_start_serviceca7eddd4,13172
deployment_finished_serviceca7eddd4,13819
confirm_deployment_sent_serviceca7eddd4,13877
deployment_start_service520ee7c7,13895
deployment_finished_service520ee7c7,14547
confirm_deployment_sent_service520ee7c7,14613
deployment_start_servicefa343177,14632
deployment_finished_servicefa343177,15238
confirm_deployment_sent_servicefa343177,15293
deployment_start_serviceb0ec4fb0,15307
deployment_finished_serviceb0ec4fb0,15968
confirm_deployment_sent_serviceb0ec4fb0,16041
deployment_start_servicef8623356,16062
deployment_finished_servicef8623356,16790
confirm_deployment_sent_servicef8623356,16842
all_confirm_deployment_sent,16842
