step,timestamp
service_announced,56
bid_received_1,10264
bid_received_1,10505
bid_received_1,10746
bid_received_1,10986
bid_received_1,11225
bid_received_1,11462
bid_received_1,11700
bid_received_1,11940
bid_received_1,12181
bid_received_1,12417
bid_received_1,12666
bid_received_1,12908
bid_received_1,13148
bid_received_1,13386
bid_received_1,13625
bid_received_1,13866
bid_received_1,14106
bid_received_1,14347
bid_received_1,14593
bid_received_1,14850
bid_received_1,15090
bid_received_1,15332
bid_received_2,15332
required_bids_received,15332
winner_choosen,15618
confirm_deployment_received,40067
establish_vxlan_connection_with_provider_start,40067
establish_vxlan_connection_with_provider_finished,40624
connection_test_success,41683
service_id,servicefecedc75
