step,timestamp
announce_received_servicecba2e39d,537
announce_received_service038893c7,570
announce_received_service7d1fbe87,5464
announce_received_service4ad7d591,5490
announce_received_serviceddf978c7,5514
announce_received_service489903d1,5539
announce_received_servicebde47293,5561
announce_received_service481795c3,5585
announce_received_service99e31cf7,5612
announce_received_service33e8edab,5637
announce_received_service9f2f6912,5663
announce_received_serviceb503dca0,5684
required_announces_received,5685
bid_offer_sent_servicecba2e39d,5992
bid_offer_sent_service038893c7,6149
bid_offer_sent_service7d1fbe87,6333
bid_offer_sent_service4ad7d591,6508
bid_offer_sent_serviceddf978c7,6692
bid_offer_sent_service489903d1,6982
bid_offer_sent_servicebde47293,7250
bid_offer_sent_service481795c3,7436
bid_offer_sent_service99e31cf7,7616
bid_offer_sent_service33e8edab,7831
bid_offer_sent_service9f2f6912,8046
bid_offer_sent_serviceb503dca0,8218
all_bid_offers_sent,8218
winner_received_serviceb503dca0,15301
winner_received_service038893c7,15552
winner_received_service7d1fbe87,15583
winner_received_service4ad7d591,15607
winner_received_service489903d1,15624
winner_received_servicebde47293,15641
winner_received_service99e31cf7,15661
winner_received_serviceddf978c7,15678
winner_received_service9f2f6912,15698
winner_received_service481795c3,15720
winner_received_service33e8edab,15738
winner_received_servicecba2e39d,15762
all_winners_received,15762
other_provider_choosen_servicecba2e39d,15795
other_provider_choosen_service038893c7,15821
other_provider_choosen_service7d1fbe87,15844
other_provider_choosen_service4ad7d591,15869
other_provider_choosen_serviceddf978c7,15893
other_provider_choosen_service489903d1,15922
other_provider_choosen_servicebde47293,15950
other_provider_choosen_service481795c3,15978
other_provider_choosen_service99e31cf7,16008
other_provider_choosen_service33e8edab,16031
other_provider_choosen_service9f2f6912,16052
other_provider_choosen_serviceb503dca0,16074
no_wins,16074
