step,timestamp
service_announced,102
bid_received_1,10045
bid_received_2,10045
required_bids_received,10045
winner_choosen,10171
confirm_deployment_received,39705
establish_vxlan_connection_with_provider_start,39706
establish_vxlan_connection_with_provider_finished,40053
connection_test_success,41131
service_id,service1757704960515
