timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757762287150,2.01,386.42,3911.85,9.88,0.25,46.688,104.226,113.059
1757762288153,1.96,386.42,3911.85,9.88,0.25,46.688,104.226,113.059
1757762289156,3.79,386.43,3911.85,9.88,0.25,46.688,104.227,113.06
1757762290159,1.74,386.42,3911.85,9.88,0.25,46.688,104.227,113.06
1757762291161,20.69,386.38,3911.85,9.88,0.25,46.688,104.371,113.254
1757762292164,1.78,386.37,3911.85,9.88,0.25,46.688,104.371,113.254
1757762293167,1.93,386.37,3911.85,9.88,0.25,46.688,104.371,113.254
1757762294169,3.76,386.37,3911.85,9.88,0.25,46.688,104.371,113.254
1757762295172,1.7,386.37,3911.85,9.88,0.25,46.688,104.372,113.255
1757762296175,17.79,386.39,3911.85,9.88,0.25,46.688,104.519,113.448
1757762297177,1.9,386.38,3911.85,9.88,0.25,46.688,104.519,113.448
1757762298180,1.84,386.39,3911.85,9.88,0.25,46.688,104.52,113.449
1757762299182,4.37,386.39,3911.85,9.88,0.25,46.688,104.52,113.45
1757762300186,1.95,386.39,3911.85,9.88,0.25,46.688,104.52,113.45
1757762301188,18.06,386.39,3911.85,9.88,0.25,46.688,104.674,113.621
1757762302191,1.73,386.38,3911.85,9.88,0.25,46.688,104.674,113.621
1757762303195,1.83,386.38,3911.85,9.88,0.25,46.688,104.674,113.621
1757762304196,3.94,386.44,3911.85,9.88,0.25,46.688,104.674,113.621
1757762305198,2.16,386.38,3911.85,9.88,0.25,46.688,104.674,113.623
1757762306202,19.71,386.39,3911.85,9.88,0.25,46.703,104.842,113.789
1757762307204,1.8,386.38,3911.85,9.88,0.25,46.703,104.842,113.79
1757762308206,2.0,386.38,3911.85,9.88,0.25,46.703,104.842,113.79
1757762309208,1.75,386.38,3911.85,9.88,0.25,46.703,104.842,113.79
1757762310210,3.8,386.38,3911.85,9.88,0.25,46.703,104.843,113.792
1757762311213,19.84,386.24,3911.85,9.87,0.25,46.734,104.995,113.983
1757762312218,13.37,386.22,3911.85,9.87,0.25,46.734,105.062,114.055
1757762313221,2.4,386.22,3911.85,9.87,0.25,46.734,105.064,114.056
1757762314223,2.32,386.23,3911.85,9.87,0.25,46.734,105.067,114.057
1757762315226,4.4,386.22,3911.85,9.87,0.25,46.734,105.069,114.06
1757762316228,29.31,386.96,3911.85,9.89,0.25,46.734,105.256,114.261
1757762317231,36.03,387.36,3911.85,9.9,0.25,46.734,105.465,114.463
1757762318233,62.73,387.4,3911.85,9.9,0.25,46.734,105.712,114.718
1757762319243,6.95,387.32,3911.85,9.9,0.25,46.734,105.755,114.749
1757762320246,10.6,387.32,3911.85,9.9,0.25,46.734,105.797,114.776
1757762321250,26.01,388.38,3911.85,9.93,0.25,46.734,106.036,115.048
1757762322252,36.64,388.8,3911.85,9.94,0.25,46.734,106.339,115.295
1757762323254,11.01,388.74,3911.85,9.94,0.25,46.734,106.386,115.33
1757762324256,9.57,388.74,3911.85,9.94,0.25,46.734,106.429,115.357
1757762325259,13.7,388.75,3911.85,9.94,0.25,46.734,106.473,115.385
1757762326262,35.59,389.39,3911.85,9.95,0.25,46.734,106.717,115.659
1757762327264,8.38,389.27,3911.85,9.95,0.25,46.734,106.785,115.682
1757762328266,3.19,385.29,3911.85,9.85,0.25,46.734,106.785,115.683
1757762329268,2.62,385.27,3911.85,9.85,0.25,46.734,106.789,115.688
1757762330271,3.89,385.27,3911.85,9.85,0.25,46.734,106.789,115.688
1757762331273,20.18,385.34,3911.85,9.85,0.25,46.734,106.965,115.903
1757762332275,1.74,385.32,3911.85,9.85,0.25,46.734,106.965,115.903
1757762333277,1.6,385.32,3911.85,9.85,0.25,46.734,106.965,115.903
1757762334280,2.76,385.3,3911.85,9.85,0.25,46.734,106.969,115.907
1757762335283,3.81,385.3,3911.85,9.85,0.25,46.734,106.969,115.908
1757762336286,29.52,385.28,3911.85,9.85,0.25,46.734,107.174,116.131
1757762337288,2.17,385.27,3911.85,9.85,0.25,46.75,107.174,116.132
1757762338292,2.84,385.24,3911.85,9.85,0.25,46.75,107.178,116.136
1757762339295,3.75,385.28,3911.85,9.85,0.25,46.75,107.178,116.136
1757762340297,4.93,385.29,3911.85,9.85,0.25,46.75,107.183,116.141
1757762341300,25.3,385.37,3911.85,9.85,0.25,46.75,107.358,116.361
1757762342302,2.73,385.38,3911.85,9.85,0.25,47.801,107.362,116.365
1757762343304,1.86,385.3,3911.85,9.85,0.25,47.801,107.363,116.367
1757762344307,2.22,385.3,3911.85,9.85,0.25,47.801,107.363,116.367
1757762345310,4.32,385.3,3911.85,9.85,0.25,47.801,107.367,116.372
1757762346315,22.91,385.43,3911.85,9.85,0.25,47.801,107.556,116.59
1757762347318,2.75,385.38,3911.85,9.85,0.25,47.801,107.561,116.595
1757762348322,1.92,385.38,3911.85,9.85,0.25,47.801,107.561,116.595
1757762349324,2.99,385.38,3911.85,9.85,0.25,47.801,107.565,116.601
1757762350327,3.42,385.38,3911.85,9.85,0.25,47.801,107.565,116.601
1757762351329,29.36,388.82,3911.85,9.94,0.25,47.801,107.759,116.83
1757762352332,1.78,388.82,3911.85,9.94,0.25,47.801,107.759,116.83
1757762353335,2.75,388.79,3911.85,9.94,0.25,47.801,107.763,116.834
1757762354337,1.87,388.79,3911.85,9.94,0.25,47.801,107.763,116.834
1757762355340,4.65,388.79,3911.85,9.94,0.25,47.801,107.768,116.839
1757762356343,21.66,388.87,3911.85,9.94,0.25,47.801,107.953,117.045
1757762357345,2.78,388.83,3911.85,9.94,0.25,47.801,107.957,117.049
1757762358348,1.96,388.83,3911.85,9.94,0.25,47.801,107.958,117.05
1757762359351,3.28,388.83,3911.85,9.94,0.25,47.801,107.962,117.056
1757762360353,3.49,388.83,3911.85,9.94,0.25,47.801,107.962,117.056
1757762361356,23.79,388.91,3911.85,9.94,0.25,47.801,108.148,117.277
1757762362359,1.96,388.9,3911.85,9.94,0.25,47.801,108.149,117.278
1757762363361,1.94,388.9,3911.85,9.94,0.25,47.801,108.149,117.278
1757762364364,1.92,388.9,3911.85,9.94,0.25,47.801,108.149,117.278
1757762365367,3.17,388.9,3911.85,9.94,0.25,47.801,108.149,117.278
1757762366370,20.56,389.01,3911.85,9.94,0.25,47.801,108.311,117.408
1757762367373,2.05,389.0,3911.85,9.94,0.25,47.816,108.312,117.409
1757762368377,1.97,389.0,3911.85,9.94,0.25,47.816,108.312,117.409
1757762369379,2.24,389.0,3911.85,9.94,0.25,47.816,108.312,117.411
1757762370382,4.52,389.0,3911.85,9.94,0.25,47.816,108.312,117.412
1757762371386,20.37,388.72,3911.85,9.94,0.25,47.816,108.462,117.602
1757762372389,1.79,388.72,3911.85,9.94,0.25,47.816,108.462,117.602
1757762373394,2.1,388.72,3911.85,9.94,0.25,47.816,108.463,117.603
1757762374396,2.26,388.72,3911.85,9.94,0.25,47.816,108.463,117.603
1757762375399,3.84,388.72,3911.85,9.94,0.25,47.816,108.463,117.604
