consensus,mec_count,mec_id,run_id,registration_time_ms,file
clique,10,10,1,1817,clique/10-mecs/mec_10_run_1.csv
clique,10,10,10,1905,clique/10-mecs/mec_10_run_10.csv
clique,10,10,11,1976,clique/10-mecs/mec_10_run_11.csv
clique,10,10,12,1953,clique/10-mecs/mec_10_run_12.csv
clique,10,10,13,1960,clique/10-mecs/mec_10_run_13.csv
clique,10,10,14,1971,clique/10-mecs/mec_10_run_14.csv
clique,10,10,15,1990,clique/10-mecs/mec_10_run_15.csv
clique,10,10,16,1938,clique/10-mecs/mec_10_run_16.csv
clique,10,10,17,1924,clique/10-mecs/mec_10_run_17.csv
clique,10,10,18,1923,clique/10-mecs/mec_10_run_18.csv
clique,10,10,19,1945,clique/10-mecs/mec_10_run_19.csv
clique,10,10,2,1892,clique/10-mecs/mec_10_run_2.csv
clique,10,10,20,1954,clique/10-mecs/mec_10_run_20.csv
clique,10,10,3,1949,clique/10-mecs/mec_10_run_3.csv
clique,10,10,4,1940,clique/10-mecs/mec_10_run_4.csv
clique,10,10,5,1882,clique/10-mecs/mec_10_run_5.csv
clique,10,10,6,1923,clique/10-mecs/mec_10_run_6.csv
clique,10,10,7,1880,clique/10-mecs/mec_10_run_7.csv
clique,10,10,8,1912,clique/10-mecs/mec_10_run_8.csv
clique,10,10,9,1985,clique/10-mecs/mec_10_run_9.csv
clique,10,1,1,1782,clique/10-mecs/mec_1_run_1.csv
clique,10,1,10,1937,clique/10-mecs/mec_1_run_10.csv
clique,10,1,11,1940,clique/10-mecs/mec_1_run_11.csv
clique,10,1,12,1846,clique/10-mecs/mec_1_run_12.csv
clique,10,1,13,1871,clique/10-mecs/mec_1_run_13.csv
clique,10,1,14,1915,clique/10-mecs/mec_1_run_14.csv
clique,10,1,15,1907,clique/10-mecs/mec_1_run_15.csv
clique,10,1,16,1903,clique/10-mecs/mec_1_run_16.csv
clique,10,1,17,1919,clique/10-mecs/mec_1_run_17.csv
clique,10,1,18,1935,clique/10-mecs/mec_1_run_18.csv
clique,10,1,19,2019,clique/10-mecs/mec_1_run_19.csv
clique,10,1,2,1889,clique/10-mecs/mec_1_run_2.csv
clique,10,1,20,1942,clique/10-mecs/mec_1_run_20.csv
clique,10,1,3,1950,clique/10-mecs/mec_1_run_3.csv
clique,10,1,4,1957,clique/10-mecs/mec_1_run_4.csv
clique,10,1,5,1938,clique/10-mecs/mec_1_run_5.csv
clique,10,1,6,1947,clique/10-mecs/mec_1_run_6.csv
clique,10,1,7,1841,clique/10-mecs/mec_1_run_7.csv
clique,10,1,8,1955,clique/10-mecs/mec_1_run_8.csv
clique,10,1,9,1951,clique/10-mecs/mec_1_run_9.csv
clique,10,2,1,1849,clique/10-mecs/mec_2_run_1.csv
clique,10,2,10,1868,clique/10-mecs/mec_2_run_10.csv
clique,10,2,11,1949,clique/10-mecs/mec_2_run_11.csv
clique,10,2,12,1869,clique/10-mecs/mec_2_run_12.csv
clique,10,2,13,1945,clique/10-mecs/mec_2_run_13.csv
clique,10,2,14,1959,clique/10-mecs/mec_2_run_14.csv
clique,10,2,15,1942,clique/10-mecs/mec_2_run_15.csv
clique,10,2,16,1894,clique/10-mecs/mec_2_run_16.csv
clique,10,2,17,1931,clique/10-mecs/mec_2_run_17.csv
clique,10,2,18,1938,clique/10-mecs/mec_2_run_18.csv
clique,10,2,19,1967,clique/10-mecs/mec_2_run_19.csv
clique,10,2,2,1921,clique/10-mecs/mec_2_run_2.csv
clique,10,2,20,1943,clique/10-mecs/mec_2_run_20.csv
clique,10,2,3,2002,clique/10-mecs/mec_2_run_3.csv
clique,10,2,4,1892,clique/10-mecs/mec_2_run_4.csv
clique,10,2,5,1877,clique/10-mecs/mec_2_run_5.csv
clique,10,2,6,1963,clique/10-mecs/mec_2_run_6.csv
clique,10,2,7,1920,clique/10-mecs/mec_2_run_7.csv
clique,10,2,8,1937,clique/10-mecs/mec_2_run_8.csv
clique,10,2,9,1998,clique/10-mecs/mec_2_run_9.csv
clique,10,3,1,1713,clique/10-mecs/mec_3_run_1.csv
clique,10,3,10,1893,clique/10-mecs/mec_3_run_10.csv
clique,10,3,11,1891,clique/10-mecs/mec_3_run_11.csv
clique,10,3,12,1879,clique/10-mecs/mec_3_run_12.csv
clique,10,3,13,1879,clique/10-mecs/mec_3_run_13.csv
clique,10,3,14,1961,clique/10-mecs/mec_3_run_14.csv
clique,10,3,15,1966,clique/10-mecs/mec_3_run_15.csv
clique,10,3,16,1866,clique/10-mecs/mec_3_run_16.csv
clique,10,3,17,2006,clique/10-mecs/mec_3_run_17.csv
clique,10,3,18,1882,clique/10-mecs/mec_3_run_18.csv
clique,10,3,19,1972,clique/10-mecs/mec_3_run_19.csv
clique,10,3,2,1914,clique/10-mecs/mec_3_run_2.csv
clique,10,3,20,1955,clique/10-mecs/mec_3_run_20.csv
clique,10,3,3,1885,clique/10-mecs/mec_3_run_3.csv
clique,10,3,4,1865,clique/10-mecs/mec_3_run_4.csv
clique,10,3,5,1892,clique/10-mecs/mec_3_run_5.csv
clique,10,3,6,1901,clique/10-mecs/mec_3_run_6.csv
clique,10,3,7,1888,clique/10-mecs/mec_3_run_7.csv
clique,10,3,8,1895,clique/10-mecs/mec_3_run_8.csv
clique,10,3,9,1873,clique/10-mecs/mec_3_run_9.csv
clique,10,4,1,1784,clique/10-mecs/mec_4_run_1.csv
clique,10,4,10,1903,clique/10-mecs/mec_4_run_10.csv
clique,10,4,11,1948,clique/10-mecs/mec_4_run_11.csv
clique,10,4,12,1978,clique/10-mecs/mec_4_run_12.csv
clique,10,4,13,1877,clique/10-mecs/mec_4_run_13.csv
clique,10,4,14,1944,clique/10-mecs/mec_4_run_14.csv
clique,10,4,15,1885,clique/10-mecs/mec_4_run_15.csv
clique,10,4,16,1964,clique/10-mecs/mec_4_run_16.csv
clique,10,4,17,1971,clique/10-mecs/mec_4_run_17.csv
clique,10,4,18,1919,clique/10-mecs/mec_4_run_18.csv
clique,10,4,19,1946,clique/10-mecs/mec_4_run_19.csv
clique,10,4,2,1923,clique/10-mecs/mec_4_run_2.csv
clique,10,4,20,1888,clique/10-mecs/mec_4_run_20.csv
clique,10,4,3,1958,clique/10-mecs/mec_4_run_3.csv
clique,10,4,4,1904,clique/10-mecs/mec_4_run_4.csv
clique,10,4,5,1869,clique/10-mecs/mec_4_run_5.csv
clique,10,4,6,1975,clique/10-mecs/mec_4_run_6.csv
clique,10,4,7,1930,clique/10-mecs/mec_4_run_7.csv
clique,10,4,8,1896,clique/10-mecs/mec_4_run_8.csv
clique,10,4,9,1992,clique/10-mecs/mec_4_run_9.csv
clique,10,5,1,1767,clique/10-mecs/mec_5_run_1.csv
clique,10,5,10,1876,clique/10-mecs/mec_5_run_10.csv
clique,10,5,11,1996,clique/10-mecs/mec_5_run_11.csv
clique,10,5,12,1849,clique/10-mecs/mec_5_run_12.csv
clique,10,5,13,1909,clique/10-mecs/mec_5_run_13.csv
clique,10,5,14,1947,clique/10-mecs/mec_5_run_14.csv
clique,10,5,15,1919,clique/10-mecs/mec_5_run_15.csv
clique,10,5,16,1927,clique/10-mecs/mec_5_run_16.csv
clique,10,5,17,1935,clique/10-mecs/mec_5_run_17.csv
clique,10,5,18,1944,clique/10-mecs/mec_5_run_18.csv
clique,10,5,19,1947,clique/10-mecs/mec_5_run_19.csv
clique,10,5,2,1901,clique/10-mecs/mec_5_run_2.csv
clique,10,5,20,1933,clique/10-mecs/mec_5_run_20.csv
clique,10,5,3,1977,clique/10-mecs/mec_5_run_3.csv
clique,10,5,4,1885,clique/10-mecs/mec_5_run_4.csv
clique,10,5,5,828,clique/10-mecs/mec_5_run_5.csv
clique,10,5,6,1964,clique/10-mecs/mec_5_run_6.csv
clique,10,5,7,1888,clique/10-mecs/mec_5_run_7.csv
clique,10,5,8,1939,clique/10-mecs/mec_5_run_8.csv
clique,10,5,9,1939,clique/10-mecs/mec_5_run_9.csv
clique,10,6,1,1683,clique/10-mecs/mec_6_run_1.csv
clique,10,6,10,1870,clique/10-mecs/mec_6_run_10.csv
clique,10,6,11,1850,clique/10-mecs/mec_6_run_11.csv
clique,10,6,12,1851,clique/10-mecs/mec_6_run_12.csv
clique,10,6,13,1863,clique/10-mecs/mec_6_run_13.csv
clique,10,6,14,1964,clique/10-mecs/mec_6_run_14.csv
clique,10,6,15,1866,clique/10-mecs/mec_6_run_15.csv
clique,10,6,16,1868,clique/10-mecs/mec_6_run_16.csv
clique,10,6,17,1953,clique/10-mecs/mec_6_run_17.csv
clique,10,6,18,1948,clique/10-mecs/mec_6_run_18.csv
clique,10,6,19,1946,clique/10-mecs/mec_6_run_19.csv
clique,10,6,2,1893,clique/10-mecs/mec_6_run_2.csv
clique,10,6,20,1960,clique/10-mecs/mec_6_run_20.csv
clique,10,6,3,1902,clique/10-mecs/mec_6_run_3.csv
clique,10,6,4,1903,clique/10-mecs/mec_6_run_4.csv
clique,10,6,5,1870,clique/10-mecs/mec_6_run_5.csv
clique,10,6,6,1878,clique/10-mecs/mec_6_run_6.csv
clique,10,6,7,1871,clique/10-mecs/mec_6_run_7.csv
clique,10,6,8,1882,clique/10-mecs/mec_6_run_8.csv
clique,10,6,9,1971,clique/10-mecs/mec_6_run_9.csv
clique,10,7,1,1802,clique/10-mecs/mec_7_run_1.csv
clique,10,7,10,1912,clique/10-mecs/mec_7_run_10.csv
clique,10,7,11,1977,clique/10-mecs/mec_7_run_11.csv
