consensus,mec_count,mec_id,n_runs,mean_ms,median_ms,std_ms,min_ms,p25_ms,p75_ms,p95_ms,max_ms
clique,20,8,20,2114.40,1867.50,583.31,1325.00,1770.00,2236.00,3021.00,3835.00
clique,20,9,20,2097.20,1894.50,545.43,1369.00,1799.00,2231.00,2932.00,3742.00
clique,20,10,20,2092.85,1872.50,558.64,1347.00,1782.00,2286.00,2973.00,3753.00
clique,20,11,20,2093.10,1890.50,574.33,1256.00,1792.00,2224.00,2874.00,3782.00
clique,20,12,20,2085.85,1863.50,557.99,1304.00,1808.00,2251.00,2961.00,3751.00
clique,20,13,20,2218.10,1984.00,591.83,1303.00,1883.00,2385.00,3317.00,3886.00
clique,20,14,20,2120.85,1943.50,703.53,811.00,1879.00,2265.00,3516.00,3919.00
clique,20,15,20,2236.45,2015.00,570.53,1345.00,1929.00,2316.00,3370.00,3778.00
clique,20,16,20,2073.25,1883.50,562.72,1253.00,1774.00,2217.00,2914.00,3756.00
clique,20,17,20,2106.80,1890.50,568.18,1296.00,1760.00,2191.00,3007.00,3759.00
clique,20,18,20,2020.65,1874.50,633.02,682.00,1774.00,2195.00,2843.00,3768.00
clique,20,19,20,2082.65,1885.00,562.12,1250.00,1711.00,2243.00,2861.00,3779.00
clique,20,20,20,2074.20,1860.00,572.02,1260.00,1768.00,2245.00,2944.00,3764.00
clique,30,1,20,1814.45,1853.50,166.93,1163.00,1785.00,1861.00,1979.00,1982.00
clique,30,2,20,1837.50,1838.00,160.02,1274.00,1776.00,1930.00,2008.00,2054.00
clique,30,3,20,1781.95,1866.50,282.48,792.00,1791.00,1885.00,1970.00,2099.00
clique,30,4,20,1840.35,1848.50,154.85,1293.00,1792.00,1917.00,1970.00,2125.00
clique,30,5,20,1832.35,1834.00,148.96,1290.00,1808.00,1866.00,1983.00,2132.00
clique,30,6,20,1778.50,1845.50,257.73,894.00,1770.00,1884.00,1964.00,2101.00
clique,30,7,20,1833.35,1840.50,140.57,1325.00,1812.00,1889.00,1981.00,2058.00
clique,30,8,20,1790.10,1834.00,275.32,839.00,1814.00,1876.00,2016.00,2164.00
clique,30,9,20,1824.85,1814.50,128.37,1336.00,1804.00,1893.00,1915.00,2001.00
clique,30,10,20,1816.60,1799.50,154.64,1230.00,1795.00,1890.00,1928.00,2046.00
clique,30,11,20,1820.95,1849.50,144.24,1296.00,1755.00,1861.00,1958.00,2077.00
clique,30,12,20,1798.90,1822.00,155.55,1226.00,1781.00,1831.00,1935.00,2038.00
clique,30,13,20,1898.90,1908.50,155.42,1365.00,1848.00,1975.00,2037.00,2207.00
clique,30,14,20,1880.70,1888.50,166.50,1294.00,1841.00,1953.00,2049.00,2167.00
clique,30,15,20,1884.45,1886.50,141.39,1398.00,1846.00,1927.00,2005.00,2163.00
clique,30,16,20,1805.65,1828.00,147.65,1267.00,1792.00,1875.00,1949.00,1994.00
clique,30,17,20,1807.25,1818.50,146.26,1276.00,1790.00,1842.00,1972.00,2060.00
clique,30,18,20,1805.75,1819.00,135.56,1298.00,1805.00,1838.00,1958.00,2019.00
clique,30,19,20,1743.20,1806.50,294.90,692.00,1754.00,1857.00,1936.00,2056.00
clique,30,20,20,1753.40,1822.50,268.44,813.00,1736.00,1836.00,1929.00,2056.00
clique,30,21,20,1861.30,1870.50,134.31,1387.00,1843.00,1902.00,1961.00,2121.00
clique,30,22,20,1854.10,1876.00,158.06,1292.00,1814.00,1919.00,2017.00,2103.00
clique,30,23,20,1877.30,1895.00,151.62,1321.00,1840.00,1918.00,2024.00,2146.00
clique,30,24,20,1855.75,1871.00,155.99,1285.00,1843.00,1901.00,1988.00,2100.00
clique,30,25,20,1852.05,1875.50,155.37,1288.00,1812.00,1922.00,2002.00,2074.00
clique,30,26,20,1849.30,1856.00,149.53,1316.00,1802.00,1912.00,2015.00,2118.00
clique,30,27,20,1842.80,1865.00,151.59,1299.00,1786.00,1934.00,1994.00,2039.00
clique,30,28,20,1863.90,1864.00,130.41,1409.00,1815.00,1927.00,2009.00,2058.00
clique,30,29,20,1868.00,1911.00,128.53,1419.00,1810.00,1936.00,2009.00,2043.00
clique,30,30,20,1860.55,1881.50,156.47,1282.00,1825.00,1935.00,1991.00,2072.00
qbft,2,1,20,2098.10,1957.50,568.10,1941.00,1953.00,1969.00,2055.00,4507.00
qbft,2,2,20,2102.30,1963.00,576.55,1943.00,1951.00,1981.00,2068.00,4548.00
qbft,4,1,20,1954.90,1950.50,57.31,1858.00,1945.00,1959.00,1977.00,2167.00
qbft,4,2,20,1970.20,1957.50,57.83,1884.00,1948.00,1974.00,1991.00,2196.00
qbft,4,3,20,1951.75,1940.50,56.58,1918.00,1926.00,1951.00,1975.00,2184.00
qbft,4,4,20,1972.05,1974.00,77.21,1881.00,1924.00,1980.00,1992.00,2266.00
qbft,10,1,20,1969.10,1886.00,346.73,1826.00,1869.00,1894.00,1990.00,3434.00
qbft,10,2,20,2002.85,1928.00,336.20,1856.00,1899.00,1961.00,2029.00,3418.00
qbft,10,3,20,1990.10,1918.00,353.22,1845.00,1880.00,1944.00,1984.00,3482.00
