timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1758034699526,0.41,627.38,3911.96,16.04,0.391,30.043,15.921,14.718
1758034700530,14.74,627.39,3911.96,16.04,0.391,30.043,15.967,14.768
1758034701533,2.8,627.39,3911.96,16.04,0.391,30.043,15.967,14.768
1758034702536,2.92,627.39,3911.96,16.04,0.391,30.043,15.967,14.768
1758034703539,3.97,627.39,3911.96,16.04,0.391,30.043,15.967,14.768
1758034704543,3.93,627.39,3911.96,16.04,0.391,30.043,15.967,14.768
1758034705545,17.06,627.39,3911.96,16.04,0.391,30.043,16.013,14.818
1758034706548,4.95,627.4,3911.96,16.04,0.391,30.043,16.021,14.82
1758034707553,3.22,627.39,3911.96,16.04,0.391,30.043,16.021,14.82
1758034708555,4.4,627.39,3911.96,16.04,0.391,30.043,16.021,14.82
1758034709559,3.4,627.39,3911.96,16.04,0.391,30.09,16.021,14.82
1758034710562,28.9,627.51,3911.96,16.04,0.391,30.09,16.094,14.869
1758034711565,4.37,627.49,3911.96,16.04,0.391,30.09,16.096,14.871
1758034712568,4.43,627.49,3911.96,16.04,0.391,30.09,16.099,14.873
1758034713570,4.74,611.96,3911.96,15.64,0.391,30.09,16.101,14.875
1758034714572,5.41,611.96,3911.96,15.64,0.391,30.09,16.104,14.876
1758034715576,29.43,615.61,3911.96,15.74,0.391,30.09,16.181,14.951
1758034716579,52.06,635.76,3911.96,16.25,0.391,30.09,16.214,14.981
1758034717582,5.37,635.75,3911.96,16.25,0.391,30.09,16.216,14.984
1758034718585,3.6,635.76,3911.96,16.25,0.391,30.09,16.218,14.985
1758034719589,5.1,635.76,3911.96,16.25,0.391,30.09,16.22,14.987
1758034720594,36.12,635.05,3911.96,16.23,0.391,30.09,16.319,15.083
1758034721596,9.95,635.01,3911.96,16.23,0.391,30.09,16.335,15.096
1758034722599,5.91,634.95,3911.96,16.23,0.391,30.09,16.341,15.1
1758034723601,11.06,631.04,3911.96,16.13,0.391,30.09,16.346,15.104
1758034724603,5.07,631.04,3911.96,16.13,0.391,30.09,16.35,15.107
1758034725606,27.03,620.66,3911.96,15.87,0.391,30.09,16.422,15.174
1758034726608,5.9,620.66,3911.96,15.87,0.391,30.09,16.427,15.178
1758034727612,6.01,620.7,3911.96,15.87,0.391,30.09,16.436,15.185
1758034728615,5.91,620.66,3911.96,15.87,0.391,30.09,16.443,15.19
1758034729619,6.13,620.66,3911.96,15.87,0.391,30.09,16.45,15.195
1758034730628,23.64,620.73,3911.96,15.87,0.391,30.09,16.504,15.263
1758034731630,4.35,620.7,3911.96,15.87,0.391,30.09,16.506,15.265
1758034732633,4.13,620.7,3911.96,15.87,0.391,30.09,16.506,15.265
1758034733635,2.95,620.7,3911.96,15.87,0.391,30.09,16.506,15.265
1758034734638,3.82,620.7,3911.96,15.87,0.391,30.09,16.506,15.265
1758034735641,15.41,620.72,3911.96,15.87,0.391,30.09,16.562,15.319
1758034736644,4.77,620.73,3911.96,15.87,0.391,30.09,16.569,15.321
1758034737646,3.39,620.72,3911.96,15.87,0.391,30.09,16.569,15.321
1758034738649,2.99,620.72,3911.96,15.87,0.391,30.09,16.569,15.321
1758034739658,3.43,620.72,3911.96,15.87,0.391,30.105,16.569,15.321
1758034740660,14.55,620.73,3911.96,15.87,0.391,30.105,16.617,15.37
