step,timestamp
service_announced,0
admission_resp_provider_1,38
admission_resp_provider_2,53
admission_resp_provider_3,84
admission_resp_provider_4,106
admission_resp_provider_5,134
admission_resp_provider_6,168
required_offers_received,168
provider_chosen,169
deploy_request_sent,169
confirm_deployment_received,2810
establish_vxlan_connection_with_provider_start,2810
establish_vxlan_connection_with_provider_finished,3076
connection_test_success,4634
service_id,servicea33254ac
provider_id,provider_2
