step,timestamp
service_announced,0
admission_resp_provider_1,46
admission_resp_provider_2,51
admission_resp_provider_3,70
admission_resp_provider_4,86
admission_resp_provider_5,109
admission_resp_provider_6,140
required_offers_received,140
provider_chosen,140
deploy_request_sent,141
confirm_deployment_received,1552
establish_vxlan_connection_with_provider_start,1552
establish_vxlan_connection_with_provider_finished,1785
connection_test_success,3368
service_id,serviced84ccac8
provider_id,provider_5
