step,timestamp
service_announced,0
admission_resp_provider_1,78
admission_resp_provider_2,94
admission_resp_provider_3,113
admission_resp_provider_4,118
admission_resp_provider_5,168
admission_resp_provider_6,235
required_offers_received,235
provider_chosen,235
deploy_request_sent,236
confirm_deployment_received,2354
establish_vxlan_connection_with_provider_start,2355
establish_vxlan_connection_with_provider_finished,2671
connection_test_success,4281
service_id,service4866cf1f
provider_id,provider_5
