step,timestamp
service_announced,0
admission_resp_provider_1,52
admission_resp_provider_2,93
admission_resp_provider_3,102
admission_resp_provider_4,115
admission_resp_provider_5,129
admission_resp_provider_6,156
required_offers_received,156
provider_chosen,156
deploy_request_sent,156
confirm_deployment_received,2254
establish_vxlan_connection_with_provider_start,2254
establish_vxlan_connection_with_provider_finished,2490
connection_test_success,4120
service_id,serviceaae59713
provider_id,provider_3
