timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1758032911688,0.2,347.58,3911.95,8.89,0.0,25.098,2.75,2.197
1758032912690,2.92,347.58,3911.95,8.89,0.0,25.098,2.75,2.197
1758032913692,2.9,347.58,3911.95,8.89,0.0,25.098,2.75,2.197
1758032914696,9.46,347.59,3911.95,8.89,0.0,25.098,2.757,2.205
1758032915699,7.32,347.6,3911.95,8.89,0.0,25.098,2.772,2.217
1758032916702,9.92,347.62,3911.95,8.89,0.0,25.098,2.785,2.227
1758032917706,5.67,347.63,3911.95,8.89,0.0,25.098,2.798,2.237
1758032918709,15.46,343.96,3911.95,8.79,0.0,25.098,2.814,2.249
1758032919712,22.51,344.07,3911.95,8.8,0.0,25.098,2.854,2.288
1758032920715,25.07,339.52,3911.95,8.68,0.0,25.098,2.868,2.296
1758032921718,5.33,339.52,3911.95,8.68,0.0,25.098,2.884,2.306
1758032922720,38.91,358.17,3911.95,9.16,0.0,25.098,2.897,2.314
1758032923723,4.92,358.17,3911.95,9.16,0.0,25.098,2.91,2.323
1758032924726,17.4,358.24,3911.95,9.16,0.0,25.098,2.939,2.345
1758032925728,5.45,350.19,3911.95,8.95,0.0,25.098,2.953,2.353
1758032926731,9.59,350.21,3911.95,8.95,0.0,25.098,2.965,2.361
1758032927734,5.99,350.2,3911.95,8.95,0.0,25.098,2.981,2.371
1758032928737,8.08,335.82,3911.95,8.58,0.0,25.098,2.994,2.379
1758032929741,14.04,335.88,3911.95,8.59,0.0,25.219,3.014,2.395
1758032930748,27.41,341.79,3911.95,8.74,0.0,25.266,3.026,2.407
1758032931749,6.13,341.79,3911.95,8.74,0.0,25.266,3.031,2.411
1758032932753,3.12,341.79,3911.95,8.74,0.0,25.266,3.031,2.411
1758032933755,2.72,341.79,3911.95,8.74,0.0,25.266,3.031,2.411
1758032934758,9.97,344.11,3911.95,8.8,0.0,25.266,3.041,2.421
1758032935760,3.52,335.88,3911.95,8.59,0.0,25.266,3.041,2.421
1758032936762,2.9,335.88,3911.95,8.59,0.0,25.266,3.041,2.421
1758032937764,3.41,335.88,3911.95,8.59,0.0,25.266,3.041,2.421
