timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1758027859277,0.41,349.01,3911.95,8.92,4.945,25.5,2.665,1.959
1758027860279,6.32,349.02,3911.95,8.92,4.945,25.5,2.665,1.959
1758027861282,4.31,349.02,3911.95,8.92,4.945,25.5,2.667,1.96
1758027862286,2.47,349.02,3911.95,8.92,4.945,25.5,2.667,1.96
1758027863289,35.66,350.28,3911.95,8.95,4.945,25.5,2.683,1.972
1758027864292,7.97,351.95,3911.95,9.0,4.945,25.5,2.696,1.982
1758027865295,8.86,351.95,3911.95,9.0,4.945,25.5,2.709,1.992
1758027866298,11.45,352.03,3911.95,9.0,4.945,25.5,2.728,2.007
1758027867301,25.26,346.01,3911.95,8.84,4.945,25.5,2.761,2.033
1758027868304,5.49,346.02,3911.95,8.85,4.945,25.5,2.774,2.042
1758027869306,13.39,338.13,3911.95,8.64,4.945,25.5,2.791,2.052
1758027870309,7.74,338.12,3911.95,8.64,4.945,25.5,2.804,2.061
1758027871312,11.25,338.24,3911.95,8.65,4.945,25.5,2.82,2.071
1758027872314,7.73,338.24,3911.95,8.65,4.945,25.5,2.837,2.083
1758027873317,5.37,338.24,3911.95,8.65,4.945,25.5,2.85,2.091
1758027874320,6.94,330.2,3911.95,8.44,4.945,25.5,2.863,2.099
1758027875323,11.39,330.55,3911.95,8.45,4.945,25.5,2.878,2.109
1758027876325,7.23,330.59,3911.95,8.45,4.945,25.586,2.895,2.12
1758027877327,5.05,330.59,3911.95,8.45,4.945,25.602,2.902,2.126
1758027878330,13.43,331.63,3911.95,8.48,4.945,25.625,2.915,2.137
1758027879332,3.18,331.61,3911.95,8.48,4.945,25.625,2.915,2.137
1758027880334,9.95,331.66,3911.95,8.48,4.945,25.625,2.915,2.137
1758027881337,5.28,331.7,3911.95,8.48,4.945,25.625,2.918,2.14
1758027882341,3.18,331.69,3911.95,8.48,4.945,25.625,2.918,2.14
1758027883344,2.77,331.68,3911.95,8.48,4.945,25.625,2.918,2.14
1758027884346,3.02,331.67,3911.95,8.48,4.945,25.625,2.918,2.141
1758027885348,5.36,331.67,3911.95,8.48,4.945,25.625,2.918,2.141
