consensus,mec_count,consumer_id,run_id,service_id,phase,value_ms,has_success,aggregation
clique,10,1,19,servicecbaf8074,postcheck,1075,1,per_service
clique,10,1,19,servicecbaf8074,total,20778,1,per_service
clique,10,1,2,service5bb12be7,bid_collection,7451,1,per_service
clique,10,1,2,service5bb12be7,winner_selection,357,1,per_service
clique,10,1,2,service5bb12be7,provider_deploy,16208,1,per_service
clique,10,1,2,service5bb12be7,vxlan_setup,348,1,per_service
clique,10,1,2,service5bb12be7,postcheck,1068,1,per_service
clique,10,1,2,service5bb12be7,total,25432,1,per_service
clique,10,1,20,serviceac957350,bid_collection,5783,1,per_service
clique,10,1,20,serviceac957350,winner_selection,292,1,per_service
clique,10,1,20,serviceac957350,provider_deploy,14442,1,per_service
clique,10,1,20,serviceac957350,vxlan_setup,337,1,per_service
clique,10,1,20,serviceac957350,postcheck,1076,1,per_service
clique,10,1,20,serviceac957350,total,21930,1,per_service
clique,10,1,3,servicee96d2e5a,bid_collection,3961,1,per_service
clique,10,1,3,servicee96d2e5a,winner_selection,362,1,per_service
clique,10,1,3,servicee96d2e5a,provider_deploy,14478,1,per_service
clique,10,1,3,servicee96d2e5a,vxlan_setup,324,1,per_service
clique,10,1,3,servicee96d2e5a,postcheck,1082,1,per_service
clique,10,1,3,servicee96d2e5a,total,20207,1,per_service
clique,10,1,4,service41b346bf,bid_collection,9711,1,per_service
clique,10,1,4,service41b346bf,winner_selection,302,1,per_service
clique,10,1,4,service41b346bf,provider_deploy,14044,1,per_service
clique,10,1,4,service41b346bf,vxlan_setup,335,1,per_service
clique,10,1,4,service41b346bf,postcheck,1079,1,per_service
clique,10,1,4,service41b346bf,total,25472,1,per_service
clique,10,1,5,servicef6c878f3,bid_collection,4763,1,per_service
clique,10,1,5,servicef6c878f3,winner_selection,301,1,per_service
clique,10,1,5,servicef6c878f3,provider_deploy,14468,1,per_service
clique,10,1,5,servicef6c878f3,vxlan_setup,300,1,per_service
clique,10,1,5,servicef6c878f3,postcheck,1071,1,per_service
clique,10,1,5,servicef6c878f3,total,20903,1,per_service
clique,10,1,6,servicef8623356,bid_collection,5994,1,per_service
clique,10,1,6,servicef8623356,winner_selection,352,1,per_service
clique,10,1,6,servicef8623356,provider_deploy,14489,1,per_service
clique,10,1,6,servicef8623356,vxlan_setup,311,1,per_service
clique,10,1,6,servicef8623356,postcheck,1094,1,per_service
clique,10,1,6,servicef8623356,total,22240,1,per_service
clique,10,1,7,service3275e269,bid_collection,9280,1,per_service
clique,10,1,7,service3275e269,winner_selection,322,1,per_service
clique,10,1,7,service3275e269,provider_deploy,9824,1,per_service
clique,10,1,7,service3275e269,vxlan_setup,418,1,per_service
clique,10,1,7,service3275e269,postcheck,1083,1,per_service
clique,10,1,7,service3275e269,total,20928,1,per_service
clique,10,1,8,servicecfa638e3,bid_collection,8849,1,per_service
clique,10,1,8,servicecfa638e3,winner_selection,316,1,per_service
clique,10,1,8,servicecfa638e3,provider_deploy,14625,1,per_service
clique,10,1,8,servicecfa638e3,vxlan_setup,327,1,per_service
clique,10,1,8,servicecfa638e3,postcheck,1065,1,per_service
clique,10,1,8,servicecfa638e3,total,25182,1,per_service
clique,10,1,9,service41ce0cd1,bid_collection,6195,1,per_service
clique,10,1,9,service41ce0cd1,winner_selection,296,1,per_service
clique,10,1,9,service41ce0cd1,provider_deploy,9753,1,per_service
clique,10,1,9,service41ce0cd1,vxlan_setup,373,1,per_service
clique,10,1,9,service41ce0cd1,postcheck,1079,1,per_service
clique,10,1,9,service41ce0cd1,total,17696,1,per_service
clique,10,2,1,service94ac9393,bid_collection,7292,1,per_service
clique,10,2,1,service94ac9393,winner_selection,366,1,per_service
clique,10,2,1,service94ac9393,provider_deploy,9096,1,per_service
clique,10,2,1,service94ac9393,vxlan_setup,582,1,per_service
clique,10,2,1,service94ac9393,postcheck,1110,1,per_service
clique,10,2,1,service94ac9393,total,18447,1,per_service
clique,10,2,10,service8012a6be,bid_collection,7843,1,per_service
clique,10,2,10,service8012a6be,winner_selection,322,1,per_service
clique,10,2,10,service8012a6be,provider_deploy,9647,1,per_service
clique,10,2,10,service8012a6be,vxlan_setup,404,1,per_service
clique,10,2,10,service8012a6be,postcheck,1114,1,per_service
clique,10,2,10,service8012a6be,total,19331,1,per_service
clique,10,2,11,serviceedd9a707,bid_collection,5446,1,per_service
clique,10,2,11,serviceedd9a707,winner_selection,369,1,per_service
clique,10,2,11,serviceedd9a707,provider_deploy,9622,1,per_service
clique,10,2,11,serviceedd9a707,vxlan_setup,521,1,per_service
clique,10,2,11,serviceedd9a707,postcheck,1070,1,per_service
clique,10,2,11,serviceedd9a707,total,17029,1,per_service
clique,10,2,12,service0a627e6a,bid_collection,5803,1,per_service
clique,10,2,12,service0a627e6a,winner_selection,326,1,per_service
clique,10,2,12,service0a627e6a,provider_deploy,9489,1,per_service
clique,10,2,12,service0a627e6a,vxlan_setup,433,1,per_service
clique,10,2,12,service0a627e6a,postcheck,1085,1,per_service
clique,10,2,12,service0a627e6a,total,17138,1,per_service
clique,10,2,13,serviced9ec06aa,bid_collection,8482,1,per_service
clique,10,2,13,serviced9ec06aa,winner_selection,329,1,per_service
clique,10,2,13,serviced9ec06aa,provider_deploy,14565,1,per_service
clique,10,2,13,serviced9ec06aa,vxlan_setup,380,1,per_service
clique,10,2,13,serviced9ec06aa,postcheck,1084,1,per_service
clique,10,2,13,serviced9ec06aa,total,24841,1,per_service
clique,10,2,14,service2c867694,bid_collection,8867,1,per_service
clique,10,2,14,service2c867694,winner_selection,321,1,per_service
clique,10,2,14,service2c867694,provider_deploy,9504,1,per_service
clique,10,2,14,service2c867694,vxlan_setup,459,1,per_service
clique,10,2,14,service2c867694,postcheck,1132,1,per_service
clique,10,2,14,service2c867694,total,20283,1,per_service
clique,10,2,15,servicef0ff6bfe,bid_collection,10121,1,per_service
clique,10,2,15,servicef0ff6bfe,winner_selection,346,1,per_service
clique,10,2,15,servicef0ff6bfe,provider_deploy,9482,1,per_service
clique,10,2,15,servicef0ff6bfe,vxlan_setup,586,1,per_service
clique,10,2,15,servicef0ff6bfe,postcheck,1097,1,per_service
clique,10,2,15,servicef0ff6bfe,total,21633,1,per_service
