consensus,mec_count,provider_id,run_id,phase,value_ms,won_any,aggregation
clique,10,2,9,announce_wait,117,1,per_run
clique,10,2,9,bid_sending,10024,1,per_run
clique,10,2,9,winner_wait,9863,1,per_run
clique,10,2,9,confirm_all,10817,1,per_run
clique,20,1,1,announce_wait,321,0,per_run
clique,20,1,1,bid_sending,2257,0,per_run
clique,20,1,1,winner_wait,7346,0,per_run
clique,20,1,10,announce_wait,186,0,per_run
clique,20,1,10,bid_sending,1769,0,per_run
clique,20,1,10,winner_wait,8228,0,per_run
clique,20,1,11,announce_wait,161,0,per_run
clique,20,1,11,bid_sending,1791,0,per_run
clique,20,1,11,winner_wait,8207,0,per_run
clique,20,1,12,announce_wait,228,1,per_run
clique,20,1,12,bid_sending,1778,1,per_run
clique,20,1,12,winner_wait,7685,1,per_run
clique,20,1,12,confirm_all,32987,1,per_run
clique,20,1,13,announce_wait,172,0,per_run
clique,20,1,13,bid_sending,1633,0,per_run
clique,20,1,13,winner_wait,8392,0,per_run
clique,20,1,14,announce_wait,5144,1,per_run
clique,20,1,14,bid_sending,1800,1,per_run
clique,20,1,14,winner_wait,8392,1,per_run
clique,20,1,14,confirm_all,32938,1,per_run
clique,20,1,15,announce_wait,180,0,per_run
clique,20,1,15,bid_sending,1648,0,per_run
clique,20,1,15,winner_wait,8233,0,per_run
clique,20,1,16,announce_wait,174,0,per_run
clique,20,1,16,bid_sending,1546,0,per_run
clique,20,1,16,winner_wait,8430,0,per_run
clique,20,1,17,announce_wait,4832,0,per_run
clique,20,1,17,bid_sending,1437,0,per_run
clique,20,1,17,winner_wait,8724,0,per_run
clique,20,1,18,announce_wait,167,1,per_run
clique,20,1,18,bid_sending,1731,1,per_run
clique,20,1,18,winner_wait,8326,1,per_run
clique,20,1,18,confirm_all,32457,1,per_run
clique,20,1,19,announce_wait,110,0,per_run
clique,20,1,19,bid_sending,1624,0,per_run
clique,20,1,19,winner_wait,8399,0,per_run
clique,20,1,2,announce_wait,226,0,per_run
clique,20,1,2,bid_sending,2177,0,per_run
clique,20,1,2,winner_wait,7852,0,per_run
clique,20,1,20,announce_wait,210,0,per_run
clique,20,1,20,bid_sending,1611,0,per_run
clique,20,1,20,winner_wait,8155,0,per_run
clique,20,1,3,announce_wait,238,1,per_run
clique,20,1,3,bid_sending,2080,1,per_run
clique,20,1,3,winner_wait,7802,1,per_run
clique,20,1,3,confirm_all,32690,1,per_run
clique,20,1,4,announce_wait,5008,0,per_run
clique,20,1,4,bid_sending,1713,0,per_run
clique,20,1,4,winner_wait,8500,0,per_run
clique,20,1,5,announce_wait,172,0,per_run
clique,20,1,5,bid_sending,1782,0,per_run
clique,20,1,5,winner_wait,8273,0,per_run
clique,20,1,6,announce_wait,238,1,per_run
clique,20,1,6,bid_sending,2080,1,per_run
clique,20,1,6,winner_wait,7802,1,per_run
clique,20,1,6,confirm_all,32690,1,per_run
clique,20,1,7,announce_wait,238,1,per_run
clique,20,1,7,bid_sending,2080,1,per_run
clique,20,1,7,winner_wait,7802,1,per_run
clique,20,1,7,confirm_all,32690,1,per_run
clique,20,1,8,announce_wait,238,1,per_run
clique,20,1,8,bid_sending,2080,1,per_run
clique,20,1,8,winner_wait,7802,1,per_run
clique,20,1,8,confirm_all,32690,1,per_run
clique,20,1,9,announce_wait,151,1,per_run
clique,20,1,9,bid_sending,1747,1,per_run
clique,20,1,9,winner_wait,8325,1,per_run
clique,20,1,9,confirm_all,32157,1,per_run
clique,20,2,1,announce_wait,399,1,per_run
clique,20,2,1,bid_sending,2511,1,per_run
clique,20,2,1,winner_wait,7131,1,per_run
clique,20,2,1,confirm_all,33075,1,per_run
clique,20,2,10,announce_wait,183,1,per_run
clique,20,2,10,bid_sending,1578,1,per_run
clique,20,2,10,winner_wait,8298,1,per_run
clique,20,2,10,confirm_all,33549,1,per_run
clique,20,2,11,announce_wait,167,0,per_run
clique,20,2,11,bid_sending,1608,0,per_run
clique,20,2,11,winner_wait,8455,0,per_run
clique,20,2,12,announce_wait,178,0,per_run
clique,20,2,12,bid_sending,1700,0,per_run
clique,20,2,12,winner_wait,7889,0,per_run
clique,20,2,13,announce_wait,186,0,per_run
clique,20,2,13,bid_sending,1637,0,per_run
clique,20,2,13,winner_wait,8363,0,per_run
clique,20,2,14,announce_wait,5189,0,per_run
clique,20,2,14,bid_sending,1716,0,per_run
clique,20,2,14,winner_wait,8426,0,per_run
clique,20,2,15,announce_wait,164,1,per_run
clique,20,2,15,bid_sending,1725,1,per_run
clique,20,2,15,winner_wait,8239,1,per_run
clique,20,2,15,confirm_all,33862,1,per_run
clique,20,2,16,announce_wait,178,1,per_run
clique,20,2,16,bid_sending,1542,1,per_run
clique,20,2,16,winner_wait,8365,1,per_run
clique,20,2,16,confirm_all,33890,1,per_run
clique,20,2,17,announce_wait,4829,0,per_run
clique,20,2,17,bid_sending,1494,0,per_run
clique,20,2,17,winner_wait,8688,0,per_run
clique,20,2,18,announce_wait,165,0,per_run
clique,20,2,18,bid_sending,1720,0,per_run
clique,20,2,18,winner_wait,8358,0,per_run
clique,20,2,19,announce_wait,185,0,per_run
clique,20,2,19,bid_sending,1612,0,per_run
clique,20,2,19,winner_wait,8506,0,per_run
clique,20,2,2,announce_wait,241,0,per_run
clique,20,2,2,bid_sending,2084,0,per_run
clique,20,2,2,winner_wait,7716,0,per_run
clique,20,2,20,announce_wait,207,1,per_run
clique,20,2,20,bid_sending,1669,1,per_run
clique,20,2,20,winner_wait,8249,1,per_run
clique,20,2,20,confirm_all,33462,1,per_run
clique,20,2,3,announce_wait,224,0,per_run
clique,20,2,3,bid_sending,1784,0,per_run
clique,20,2,3,winner_wait,8058,0,per_run
clique,20,2,4,announce_wait,4997,0,per_run
clique,20,2,4,bid_sending,1932,0,per_run
clique,20,2,4,winner_wait,8272,0,per_run
clique,20,2,5,announce_wait,194,1,per_run
clique,20,2,5,bid_sending,1788,1,per_run
clique,20,2,5,winner_wait,8234,1,per_run
clique,20,2,5,confirm_all,32780,1,per_run
clique,20,2,6,announce_wait,224,0,per_run
clique,20,2,6,bid_sending,1784,0,per_run
clique,20,2,6,winner_wait,8058,0,per_run
clique,20,2,7,announce_wait,224,0,per_run
clique,20,2,7,bid_sending,1784,0,per_run
clique,20,2,7,winner_wait,8058,0,per_run
clique,20,2,8,announce_wait,224,0,per_run
clique,20,2,8,bid_sending,1784,0,per_run
clique,20,2,8,winner_wait,8058,0,per_run
clique,20,2,9,announce_wait,157,0,per_run
clique,20,2,9,bid_sending,1705,0,per_run
clique,20,2,9,winner_wait,8284,0,per_run
clique,20,3,1,announce_wait,318,0,per_run
clique,20,3,1,bid_sending,2967,0,per_run
clique,20,3,1,winner_wait,6692,0,per_run
clique,20,3,10,announce_wait,169,0,per_run
clique,20,3,10,bid_sending,1565,0,per_run
clique,20,3,10,winner_wait,8423,0,per_run
clique,20,3,11,announce_wait,166,0,per_run
clique,20,3,11,bid_sending,1854,0,per_run
clique,20,3,11,winner_wait,8198,0,per_run
clique,20,3,12,announce_wait,165,0,per_run
clique,20,3,12,bid_sending,1550,0,per_run
clique,20,3,12,winner_wait,8006,0,per_run
clique,20,3,13,announce_wait,167,0,per_run
clique,20,3,13,bid_sending,1634,0,per_run
clique,20,3,13,winner_wait,8485,0,per_run
clique,20,3,14,announce_wait,5144,0,per_run
clique,20,3,14,bid_sending,1524,0,per_run
clique,20,3,14,winner_wait,8575,0,per_run
clique,20,3,15,announce_wait,167,0,per_run
clique,20,3,15,bid_sending,1731,0,per_run
clique,20,3,15,winner_wait,8330,0,per_run
clique,20,3,16,announce_wait,173,0,per_run
clique,20,3,16,bid_sending,1673,0,per_run
clique,20,3,16,winner_wait,8479,0,per_run
clique,20,3,17,announce_wait,4870,0,per_run
clique,20,3,17,bid_sending,1579,0,per_run
clique,20,3,17,winner_wait,8519,0,per_run
clique,20,3,18,announce_wait,164,0,per_run
clique,20,3,18,bid_sending,1604,0,per_run
clique,20,3,18,winner_wait,8264,0,per_run
clique,20,3,19,announce_wait,164,1,per_run
clique,20,3,19,bid_sending,1686,1,per_run
clique,20,3,19,winner_wait,8332,1,per_run
clique,20,3,19,confirm_all,33616,1,per_run
clique,20,3,2,announce_wait,245,1,per_run
clique,20,3,2,bid_sending,2066,1,per_run
clique,20,3,2,winner_wait,7936,1,per_run
clique,20,3,2,confirm_all,33525,1,per_run
clique,20,3,20,announce_wait,203,0,per_run
clique,20,3,20,bid_sending,1698,0,per_run
clique,20,3,20,winner_wait,8255,0,per_run
clique,20,3,3,announce_wait,183,0,per_run
clique,20,3,3,bid_sending,1811,0,per_run
clique,20,3,3,winner_wait,7921,0,per_run
clique,20,3,4,announce_wait,5006,1,per_run
clique,20,3,4,bid_sending,1770,1,per_run
clique,20,3,4,winner_wait,8483,1,per_run
clique,20,3,4,confirm_all,33415,1,per_run
clique,20,3,5,announce_wait,185,0,per_run
clique,20,3,5,bid_sending,1703,0,per_run
clique,20,3,5,winner_wait,8320,0,per_run
clique,20,3,6,announce_wait,183,0,per_run
clique,20,3,6,bid_sending,1811,0,per_run
clique,20,3,6,winner_wait,7921,0,per_run
clique,20,3,7,announce_wait,183,0,per_run
clique,20,3,7,bid_sending,1811,0,per_run
clique,20,3,7,winner_wait,7921,0,per_run
clique,20,3,8,announce_wait,183,0,per_run
clique,20,3,8,bid_sending,1811,0,per_run
clique,20,3,8,winner_wait,7921,0,per_run
clique,20,3,9,announce_wait,155,0,per_run
clique,20,3,9,bid_sending,1584,0,per_run
clique,20,3,9,winner_wait,8458,0,per_run
