consensus,mec_count,samples,runs,nodes,files,aggregation,cpu_percent_mean,cpu_percent_std,cpu_percent_median,cpu_percent_q1,cpu_percent_q3,mem_mb_mean,mem_mb_std,mem_mb_median,mem_mb_q1,mem_mb_q3,blk_read_mb_mean,blk_read_mb_std,blk_read_mb_median,blk_read_mb_q1,blk_read_mb_q3,blk_write_mb_mean,blk_write_mb_std,blk_write_mb_median,blk_write_mb_q1,blk_write_mb_q3,net_rx_mb_mean,net_rx_mb_std,net_rx_mb_median,net_rx_mb_q1,net_rx_mb_q3,net_tx_mb_mean,net_tx_mb_std,net_tx_mb_median,net_tx_mb_q1,net_tx_mb_q3
clique,4,2094,20,4,80,per_node_median,11.827011278998778,1.5089503356013638,11.514726923076923,10.883808928571428,12.457929273504273,338.30437127419196,9.798464992414667,337.0724673347087,331.2249102564102,344.1519283524904,1.6542500000000002,2.167110576320461,0.9610000000000002,0.07225,2.543,34.338807399776144,1.108935877039452,34.37185233516483,33.565083155270656,35.14557657967033,70.8316977004477,14.690439335153938,71.46051648351649,66.60418465099715,75.68802953296704,49.34171684218559,10.411386506771109,49.77616552197803,46.33778311965813,52.78009924450549
clique,10,10956,20,10,200,per_node_median,10.85567802864146,1.3390771694112862,11.472812095312095,10.034658445161941,11.70650490801403,375.1948658642199,61.9159911958311,352.7891258622898,341.8928811489218,390.0966990381668,0.10245188679245283,0.21095985112864585,0.004259433962264151,0.0,0.0665,29.60574100447575,0.8077141252141944,29.367174579124583,29.250939465408802,30.16108120578647,20.5297501796856,5.112616576633283,19.612708136792453,19.44848062865497,21.638883533447682,17.76696544808112,5.916851110093102,15.930426381401618,15.57601644736842,18.354259519725556
clique,20,32577,20,20,400,per_node_median,7.854658567066186,1.2285616143267872,7.760652041545871,6.685482946801261,9.043549473766497,376.0561317258568,93.73908751587196,353.57808874743586,334.0269558901747,402.0581831671415,1.1691555882352942,2.2286965645940313,0.004000000000000001,0.0,0.92275,28.623239903584572,6.055681338334869,30.938190362269307,30.574826965249656,31.450018023733268,11.852039525962429,0.8030232838184644,11.516460348880358,11.409020798589397,11.645990701732478,11.386699394738837,1.0343515462588653,10.991628182243744,10.747782894262325,11.369884057253723
clique,30,54929,20,30,600,per_node_median,8.42393388246364,1.2933593720310161,8.145529586683157,7.567040085579537,9.672205638193974,456.417453882924,107.19126001436922,429.17503762537774,384.47321040383537,551.8577581710953,0.706512691960253,1.2517923628841583,0.11782926829268293,0.0,0.8340000000000001,31.460943783907634,18.566938242890966,46.866894845213125,10.051000000000002,47.82388688870353,46.5361523069329,2.1318679916447247,45.69467807324289,45.45171728056427,45.983918248993604,45.48604528802244,1.895307495510466,45.39402011494253,44.5671407158044,45.764119690662774
qbft,10,11023,20,10,200,per_node_median,14.679366050063601,1.5420267634139515,15.317073756432247,13.753636206067238,15.53902990430622,377.4286728437139,61.785469296931595,351.8080261629928,347.4031547619047,375.13064543624057,0.26525000000000004,0.4891307056628343,0.041249999999999995,0.0,0.27325,32.01911397693582,1.4145787733004906,31.939629980404785,30.989474718143327,32.50524830813932,45.17841725375287,3.630925592393467,44.69648059945061,43.0595595595677,45.588810143769194,41.04502740409771,4.3938283061259025,41.286462950093,36.628008418730566,45.45856167763158
qbft,20,33165,20,20,400,per_node_median,11.230482796963317,1.790227535432652,11.026463051563049,9.643657306791972,13.021381663044991,375.5262124275598,82.88699090984574,361.8237552456749,347.8707706374086,396.1147051144889,1.312369471410942,2.9356827288084784,0.25,0.02,1.5180232620320853,30.900729674582557,7.145619163398606,34.134353911779755,33.12983118580669,34.566716319599934,56.565120262863445,1.3532897174689016,56.475147023818536,56.22485393981019,57.24673061744827,56.32121769961263,10.666701785036485,58.4865911438201,54.10291319224683,64.03175019372335
qbft,30,55919,20,30,600,per_node_median,15.942538753374423,2.1968356139148777,15.372172793638732,14.156015600306993,18.587397795325025,442.02458461060615,109.55463527766089,439.7512218316862,355.75569948756737,518.2022349928102,2.2457891203225047,4.52028046441969,0.193,0.023,2.53425,25.82149668486831,13.25878454227306,36.682842974913335,10.066000000000003,37.916624868601666,126.99661356227607,2.4034903745131375,126.93960974535739,126.26575501685576,127.49764801182354,127.19686060433472,21.544487234098288,126.96336828971118,117.93296517437301,140.6810590182431
