consensus,mec_count,role,elapsed_s,nodes,cpu_percent_median,cpu_percent_q1,cpu_percent_q3,mem_mb_median,mem_mb_q1,mem_mb_q3,blk_read_mb_median,blk_read_mb_q1,blk_read_mb_q3,blk_write_mb_median,blk_write_mb_q1,blk_write_mb_q3,net_rx_mb_median,net_rx_mb_q1,net_rx_mb_q3,net_tx_mb_median,net_tx_mb_q1,net_tx_mb_q3,files,aggregation,rolling_window_s,cpu_percent_median_smooth,mem_mb_median_smooth,blk_read_mb_median_smooth,blk_write_mb_median_smooth,net_rx_mb_median_smooth,net_tx_mb_median_smooth
clique,4,consumer,0,3,0.19,0.1875,0.195,332.11,330.605,341.21500000000003,0.082,0.0625,0.9610000000000001,33.6875,33.38775,34.53725,70.405,60.76275,78.805,49.0445,42.2265,55.01075,3,per_node_median,5,3.295,332.11,0.082,33.715,70.405,49.0445
clique,4,consumer,1,3,3.47,3.2075000000000005,3.4975000000000005,332.11,330.4375,341.22,0.082,0.0625,0.9610000000000001,33.715,33.4015,34.551,70.405,60.76275,78.805,49.0445,42.2265,55.010999999999996,3,per_node_median,5,3.295,332.11,0.082,33.715,70.405,49.0445
clique,4,consumer,2,3,3.295,3.0875,3.525,332.115,330.36,341.21500000000003,0.082,0.0625,0.9610000000000001,33.715,33.418,34.551,70.405,60.76275,78.805,49.0445,42.2265,55.010999999999996,3,per_node_median,5,3.295,332.11,0.082,33.715,70.405,49.0445
clique,4,consumer,3,3,3.295,3.2225,3.3375,332.11,330.3575,341.245,0.082,0.0625,0.9610000000000001,33.715,33.418,34.551,70.406,60.7635,78.80625,49.045500000000004,42.227500000000006,55.01175,3,per_node_median,5,3.47,332.115,0.082,33.715,70.406,49.045500000000004
clique,4,consumer,4,3,9.79,9.657499999999999,10.3875,332.415,330.14,341.63250000000005,0.082,0.0625,0.9610000000000001,33.715,33.418,34.551,70.429,60.79375,78.82875,49.0625,42.24975,55.02875,3,per_node_median,5,9.79,332.415,0.082,33.715,70.429,49.0625
clique,4,consumer,5,3,20.35,20.0625,21.637500000000003,332.545,330.175,341.71500000000003,0.082,0.0625,0.9610000000000001,33.715,33.418,34.566500000000005,70.59049999999999,60.95975,78.984,49.175,42.363,55.13525,3,per_node_median,5,20.35,332.545,0.082,33.715,70.59049999999999,49.175
clique,4,consumer,6,3,21.119999999999997,20.875,21.865,332.97,329.99,341.805,0.082,0.0625,0.9610000000000001,33.805,33.462999999999994,34.6115,70.7515,61.12575,79.51925,49.286500000000004,42.47625,55.502750000000006,3,per_node_median,5,20.835,332.97,0.082,33.715,70.7515,49.286500000000004
clique,4,consumer,7,3,20.835,20.142500000000002,21.4825,333.21500000000003,329.9825,341.8175,0.082,0.0625,0.9610000000000001,33.715,33.418,34.566500000000005,70.9205,61.29675,79.30525,49.406499999999994,42.59625,55.35825,3,per_node_median,5,21.119999999999997,332.97,0.082,33.715,70.9205,49.406499999999994
clique,4,consumer,8,3,22.2,21.8975,22.61,333.21000000000004,330.1125,340.9875,0.082,0.0625,0.9610000000000001,33.715,33.418,34.566500000000005,71.072,61.45825,79.46000000000001,49.5105,42.706999999999994,55.46525,3,per_node_median,5,21.119999999999997,332.97,0.082,33.715,71.072,49.5105
clique,4,consumer,9,3,22.62,21.78,22.715000000000003,331.065,329.685,339.4675,0.082,0.0625,0.9610000000000001,33.715,33.418,34.566500000000005,71.22749999999999,61.621249999999996,79.612,49.619,42.819,55.57125,3,per_node_median,5,20.869999999999997,331.07,0.082,33.715,71.22749999999999,49.619
