consensus,mec_count,provider_id,run_id,file,won_any,p_announce_wait_ms,p_bid_sending_ms,p_winner_wait_ms,p_confirm_all_ms
clique,20,1,5,clique/20-mecs/provider_1_run_5.csv,0,172,1782,8273,
clique,20,1,6,clique/20-mecs/provider_1_run_6.csv,1,238,2080,7802,32690
clique,20,1,7,clique/20-mecs/provider_1_run_7.csv,1,238,2080,7802,32690
clique,20,1,8,clique/20-mecs/provider_1_run_8.csv,1,238,2080,7802,32690
clique,20,1,9,clique/20-mecs/provider_1_run_9.csv,1,151,1747,8325,32157
clique,20,2,1,clique/20-mecs/provider_2_run_1.csv,1,399,2511,7131,33075
clique,20,2,10,clique/20-mecs/provider_2_run_10.csv,1,183,1578,8298,33549
clique,20,2,11,clique/20-mecs/provider_2_run_11.csv,0,167,1608,8455,
clique,20,2,12,clique/20-mecs/provider_2_run_12.csv,0,178,1700,7889,
clique,20,2,13,clique/20-mecs/provider_2_run_13.csv,0,186,1637,8363,
clique,20,2,14,clique/20-mecs/provider_2_run_14.csv,0,5189,1716,8426,
clique,20,2,15,clique/20-mecs/provider_2_run_15.csv,1,164,1725,8239,33862
clique,20,2,16,clique/20-mecs/provider_2_run_16.csv,1,178,1542,8365,33890
clique,20,2,17,clique/20-mecs/provider_2_run_17.csv,0,4829,1494,8688,
clique,20,2,18,clique/20-mecs/provider_2_run_18.csv,0,165,1720,8358,
clique,20,2,19,clique/20-mecs/provider_2_run_19.csv,0,185,1612,8506,
clique,20,2,2,clique/20-mecs/provider_2_run_2.csv,0,241,2084,7716,
clique,20,2,20,clique/20-mecs/provider_2_run_20.csv,1,207,1669,8249,33462
clique,20,2,3,clique/20-mecs/provider_2_run_3.csv,0,224,1784,8058,
clique,20,2,4,clique/20-mecs/provider_2_run_4.csv,0,4997,1932,8272,
clique,20,2,5,clique/20-mecs/provider_2_run_5.csv,1,194,1788,8234,32780
clique,20,2,6,clique/20-mecs/provider_2_run_6.csv,0,224,1784,8058,
clique,20,2,7,clique/20-mecs/provider_2_run_7.csv,0,224,1784,8058,
clique,20,2,8,clique/20-mecs/provider_2_run_8.csv,0,224,1784,8058,
clique,20,2,9,clique/20-mecs/provider_2_run_9.csv,0,157,1705,8284,
clique,20,3,1,clique/20-mecs/provider_3_run_1.csv,0,318,2967,6692,
clique,20,3,10,clique/20-mecs/provider_3_run_10.csv,0,169,1565,8423,
clique,20,3,11,clique/20-mecs/provider_3_run_11.csv,0,166,1854,8198,
clique,20,3,12,clique/20-mecs/provider_3_run_12.csv,0,165,1550,8006,
clique,20,3,13,clique/20-mecs/provider_3_run_13.csv,0,167,1634,8485,
clique,20,3,14,clique/20-mecs/provider_3_run_14.csv,0,5144,1524,8575,
clique,20,3,15,clique/20-mecs/provider_3_run_15.csv,0,167,1731,8330,
clique,20,3,16,clique/20-mecs/provider_3_run_16.csv,0,173,1673,8479,
clique,20,3,17,clique/20-mecs/provider_3_run_17.csv,0,4870,1579,8519,
clique,20,3,18,clique/20-mecs/provider_3_run_18.csv,0,164,1604,8264,
clique,20,3,19,clique/20-mecs/provider_3_run_19.csv,1,164,1686,8332,33616
clique,20,3,2,clique/20-mecs/provider_3_run_2.csv,1,245,2066,7936,33525
clique,20,3,20,clique/20-mecs/provider_3_run_20.csv,0,203,1698,8255,
clique,20,3,3,clique/20-mecs/provider_3_run_3.csv,0,183,1811,7921,
clique,20,3,4,clique/20-mecs/provider_3_run_4.csv,1,5006,1770,8483,33415
clique,20,3,5,clique/20-mecs/provider_3_run_5.csv,0,185,1703,8320,
clique,20,3,6,clique/20-mecs/provider_3_run_6.csv,0,183,1811,7921,
clique,20,3,7,clique/20-mecs/provider_3_run_7.csv,0,183,1811,7921,
clique,20,3,8,clique/20-mecs/provider_3_run_8.csv,0,183,1811,7921,
clique,20,3,9,clique/20-mecs/provider_3_run_9.csv,0,155,1584,8458,
clique,20,4,1,clique/20-mecs/provider_4_run_1.csv,0,284,2490,7106,
clique,20,4,10,clique/20-mecs/provider_4_run_10.csv,0,179,1656,8138,
clique,20,4,11,clique/20-mecs/provider_4_run_11.csv,1,173,1707,8273,32042
clique,20,4,12,clique/20-mecs/provider_4_run_12.csv,0,173,1555,8079,
clique,20,4,13,clique/20-mecs/provider_4_run_13.csv,1,177,1724,8276,33569
clique,20,4,14,clique/20-mecs/provider_4_run_14.csv,0,5150,1610,8513,
clique,20,4,15,clique/20-mecs/provider_4_run_15.csv,0,169,1532,8356,
clique,20,4,16,clique/20-mecs/provider_4_run_16.csv,0,166,1452,8655,
clique,20,4,17,clique/20-mecs/provider_4_run_17.csv,1,4900,1599,8498,32556
clique,20,4,18,clique/20-mecs/provider_4_run_18.csv,0,141,1520,8556,
clique,20,4,19,clique/20-mecs/provider_4_run_19.csv,0,144,1426,8566,
clique,20,4,2,clique/20-mecs/provider_4_run_2.csv,0,214,2014,7871,
clique,20,4,20,clique/20-mecs/provider_4_run_20.csv,0,182,1442,8507,
clique,20,4,3,clique/20-mecs/provider_4_run_3.csv,0,174,1927,7822,
clique,20,4,4,clique/20-mecs/provider_4_run_4.csv,0,4988,1818,8160,
clique,20,4,5,clique/20-mecs/provider_4_run_5.csv,0,173,1771,8491,
clique,20,4,6,clique/20-mecs/provider_4_run_6.csv,0,174,1927,7822,
clique,20,4,7,clique/20-mecs/provider_4_run_7.csv,0,174,1927,7822,
clique,20,4,8,clique/20-mecs/provider_4_run_8.csv,0,174,1927,7822,
clique,20,4,9,clique/20-mecs/provider_4_run_9.csv,0,185,1738,8188,
clique,30,1,1,clique/30-mecs/provider_1_run_1.csv,0,354,3108,6747,
clique,30,1,10,clique/30-mecs/provider_1_run_10.csv,1,371,2937,7121,20336
clique,30,1,11,clique/30-mecs/provider_1_run_11.csv,0,290,2722,7454,
clique,30,1,12,clique/30-mecs/provider_1_run_12.csv,0,369,3085,6855,
clique,30,1,13,clique/30-mecs/provider_1_run_13.csv,0,272,2909,7343,
clique,30,1,14,clique/30-mecs/provider_1_run_14.csv,0,386,2969,6874,
clique,30,1,15,clique/30-mecs/provider_1_run_15.csv,0,313,3119,7243,
clique,30,1,16,clique/30-mecs/provider_1_run_16.csv,0,372,3059,6996,
clique,30,1,17,clique/30-mecs/provider_1_run_17.csv,1,397,3148,6772,21633
clique,30,1,18,clique/30-mecs/provider_1_run_18.csv,0,355,3088,7048,
clique,30,1,19,clique/30-mecs/provider_1_run_19.csv,0,361,2777,6610,
clique,30,1,2,clique/30-mecs/provider_1_run_2.csv,0,375,3139,7154,
clique,30,1,20,clique/30-mecs/provider_1_run_20.csv,0,316,3014,7099,
clique,30,1,3,clique/30-mecs/provider_1_run_3.csv,0,360,3392,6609,
clique,30,1,4,clique/30-mecs/provider_1_run_4.csv,0,349,3348,7137,
clique,30,1,5,clique/30-mecs/provider_1_run_5.csv,0,375,3139,7154,
clique,30,1,6,clique/30-mecs/provider_1_run_6.csv,0,323,3335,6861,
clique,30,1,7,clique/30-mecs/provider_1_run_7.csv,0,324,3083,7091,
clique,30,1,8,clique/30-mecs/provider_1_run_8.csv,1,332,3144,7159,21397
clique,30,1,9,clique/30-mecs/provider_1_run_9.csv,0,312,2776,9743,
clique,30,2,1,clique/30-mecs/provider_2_run_1.csv,0,268,2966,7032,
clique,30,2,10,clique/30-mecs/provider_2_run_10.csv,0,296,2910,7239,
clique,30,2,11,clique/30-mecs/provider_2_run_11.csv,0,306,2684,7577,
clique,30,2,12,clique/30-mecs/provider_2_run_12.csv,0,271,2978,6924,
clique,30,2,13,clique/30-mecs/provider_2_run_13.csv,0,354,2852,7236,
clique,30,2,14,clique/30-mecs/provider_2_run_14.csv,0,307,2894,6890,
clique,30,2,15,clique/30-mecs/provider_2_run_15.csv,1,284,3023,7070,19709
clique,30,2,16,clique/30-mecs/provider_2_run_16.csv,0,307,2905,7324,
clique,30,2,17,clique/30-mecs/provider_2_run_17.csv,0,281,3025,7124,
clique,30,2,18,clique/30-mecs/provider_2_run_18.csv,0,260,2982,7152,
clique,30,2,19,clique/30-mecs/provider_2_run_19.csv,0,300,2944,6514,
clique,30,2,2,clique/30-mecs/provider_2_run_2.csv,0,357,2876,7247,
clique,30,2,20,clique/30-mecs/provider_2_run_20.csv,1,408,3168,6762,20219
clique,30,2,3,clique/30-mecs/provider_2_run_3.csv,0,292,3199,6611,
