consensus,mec_count,role,samples,runs,nodes,files,aggregation,cpu_percent_mean,cpu_percent_std,cpu_percent_median,cpu_percent_q1,cpu_percent_q3,mem_mb_mean,mem_mb_std,mem_mb_median,mem_mb_q1,mem_mb_q3,blk_read_mb_mean,blk_read_mb_std,blk_read_mb_median,blk_read_mb_q1,blk_read_mb_q3,blk_write_mb_mean,blk_write_mb_std,blk_write_mb_median,blk_write_mb_q1,blk_write_mb_q3,net_rx_mb_mean,net_rx_mb_std,net_rx_mb_median,net_rx_mb_q1,net_rx_mb_q3,net_tx_mb_mean,net_tx_mb_std,net_tx_mb_median,net_tx_mb_q1,net_tx_mb_q3
clique,4,consumer,1557,20,3,60,per_node_median,11.145829853479853,0.794574015517265,11.042399999999999,10.725217857142855,11.514726923076923,337.0372034188034,11.592264147653966,332.0390598290598,330.4107606837607,341.16457435897433,0.6550000000000001,1.0264253504273948,0.08199999999999999,0.06249999999999999,0.9610000000000002,34.10848907882241,1.2354468807990855,33.71394230769231,33.416224002849,34.60348076923077,70.60011799620132,17.98309586342808,71.39459615384615,61.813773148148144,79.78370192307692,49.18042877492878,12.74517047536935,49.72675000000001,42.948816239316244,55.68520192307693
clique,4,provider,537,20,1,20,per_node_median,13.870555555555555,,13.870555555555555,13.870555555555555,13.870555555555555,342.1058748403576,,342.1058748403576,342.1058748403576,342.1058748403576,4.652,,4.652,4.652,4.652,35.02976236263736,,35.02976236263736,35.02976236263736,35.02976236263736,71.52643681318682,,71.52643681318682,71.52643681318682,71.52643681318682,49.82558104395604,,49.82558104395604,49.82558104395604,49.82558104395604
clique,10,consumer,6106,20,8,160,per_node_median,8.0435000079372,0.4604533423758322,8.058904390590849,7.753085027866682,8.376234100877193,366.64678045938325,87.49671379725923,340.8785560897436,326.2997827380953,357.16947199502135,0.23412500000000003,0.5888765181015699,0.016,0.006,0.04625,27.385136485706113,0.22785568519259458,27.374382651348828,27.332601049942756,27.475645369270367,5.146651086236281,0.0569155052298346,5.122256930972784,5.108313807189543,5.157929588063295,4.534215646438539,0.12056959813194393,4.486326086516556,4.467101747388144,4.542694426294426
clique,10,provider,1663,20,2,40,per_node_median,9.558173890063424,0.8288435104867036,9.558173890063424,9.265133456659619,9.851214323467229,361.0088861577019,29.474433384422035,361.0088861577019,350.5881002988239,371.4296720165799,0.0,0.0,0.0,0.0,0.0,28.984757330709513,0.8611751585055317,28.984757330709513,28.68028593352518,29.289228727893843,7.609293151382207,0.058981504860398805,7.609293151382207,7.588440040356519,7.630146262407894,6.351393280927461,0.07355445569848802,6.351393280927461,6.325387853722017,6.377398708132904
clique,20,consumer,26552,20,16,320,per_node_median,7.706400503908122,1.268006955188345,8.31854245014245,6.279443904701089,8.73982777606257,369.67630264929494,86.11915698859902,358.9484244229337,337.6763953518908,416.7145521603038,1.35615625,2.9039621308294756,0.035,0.0,1.3038750000000001,28.886955418762646,7.145541103375729,32.037700700988786,28.66761737804878,33.03246386885598,13.825901402091752,0.33991701652154765,13.803878634217082,13.61473503310415,14.010585297459894,13.190596490020093,0.37379194111907027,13.178289400713481,12.946277569106591,13.487681207602776
clique,20,provider,7166,20,4,80,per_node_median,6.872366925628542,0.2280674146928621,6.824055808369739,6.743085909971811,6.9533368240264695,488.2777548455264,162.7165670832207,479.4683028661114,359.6257884209507,608.120269290687,0.10650000000000004,0.20507803392855128,0.005999999999999999,0.0,0.11250000000000003,34.18461133753929,2.410132439053301,34.251667547685116,33.44669704251465,34.989581842709754,16.587537476445267,0.2741873270330829,16.52147372362451,16.37705648659005,16.731954713479727,15.436460733359043,0.32124415881694923,15.332782407713317,15.232062088623959,15.5371810524484
clique,30,consumer,42972,20,24,480,per_node_median,8.441040766760652,1.4483848543992173,7.832638047374163,7.232114535235594,9.96317174144777,439.4248263279215,99.49636571772164,417.7149796495272,386.31275621150616,494.1137884725401,0.8139325316169829,1.3758872869331709,0.11782926829268293,0.0,0.9140000000000001,36.81342972988455,16.887494703785535,47.51845159605191,20.102000000000004,48.252621323529404,45.547362932080176,0.364752116212946,45.604992604770004,45.33609391561198,45.84341414050499,44.76310268967654,1.1553840388556063,44.89079385957624,44.33059552987862,45.63163186944155
clique,30,provider,11957,20,6,120,per_node_median,8.355506345275591,0.21242798503558094,8.325007714407644,8.254725017839302,8.527365371767761,524.3879641029339,119.05459028531024,571.8887401514003,421.40505377631825,607.3463266783411,0.2768333333333333,0.3216653022423567,0.15649999999999997,0.011999999999999999,0.5379999999999999,10.051000000000002,0.0,10.051000000000002,10.051000000000002,10.051000000000002,50.49130980634377,1.5110544065057767,51.14183107607636,50.42321521335806,51.33462357208111,48.37781568140605,1.4664939233872798,48.96941241316498,48.40338164786664,49.16623852700203
qbft,4,consumer,1520,20,3,60,per_node_median,6.972678347578348,0.19974385123787183,6.892799999999999,6.859017521367521,7.0464,325.1972542531543,10.000185604670017,321.4025824175825,319.52619120879126,328.9709813797314,1.1980000000000002,2.07153373132083,0.004,0.002,1.7970000000000002,26.796326746562617,0.8102134265648352,26.59732371794872,26.350740119843927,27.14241185897436,3.077882018597345,0.03203784336335247,3.0763286956521743,3.0614888932806323,3.0934984824414715,2.4886249120806734,0.023120032427431814,2.483725961538462,2.4760364590301007,2.49876388986014
qbft,4,provider,528,20,1,20,per_node_median,8.066662087912087,,8.066662087912087,8.066662087912087,8.066662087912087,341.46107142857136,,341.46107142857136,341.46107142857136,341.46107142857136,0.0,,0.0,0.0,0.0,26.62276923076923,,26.62276923076923,26.62276923076923,26.62276923076923,4.568833333333333,,4.568833333333333,4.568833333333333,4.568833333333333,3.603653846153846,,3.603653846153846,3.603653846153846,3.603653846153846
