consensus,mec_count,consumer_id,run_id,file,service_id,has_success,c_bid_collection_ms,c_winner_selection_ms,c_provider_deploy_ms,c_vxlan_setup_ms,c_postcheck_ms,c_total_ms
clique,20,14,10,clique/20-mecs/consumer_14_run_10.csv,service1757756708746,1,8447,573,13645,276,1152,24094
clique,20,14,11,clique/20-mecs/consumer_14_run_11.csv,service1757756837638,1,9084,608,13893,314,1130,25030
clique,20,14,12,clique/20-mecs/consumer_14_run_12.csv,service1757756967406,1,8378,542,8894,300,1141,19256
clique,20,14,13,clique/20-mecs/consumer_14_run_13.csv,service1757757096506,1,10485,536,8462,345,1164,20993
clique,20,14,14,clique/20-mecs/consumer_14_run_14.csv,service1757757225114,1,10684,428,13644,335,1186,26277
clique,20,14,15,clique/20-mecs/consumer_14_run_15.csv,service1757757357613,1,9401,430,8921,424,1182,20358
clique,20,14,16,clique/20-mecs/consumer_14_run_16.csv,service1757757490120,1,6503,408,13690,323,1287,22212
clique,20,14,17,clique/20-mecs/consumer_14_run_17.csv,service1757757615411,1,11060,395,8760,299,1133,21652
clique,20,14,18,clique/20-mecs/consumer_14_run_18.csv,service1757757747472,1,9163,449,13941,323,1212,25089
clique,20,14,19,clique/20-mecs/consumer_14_run_19.csv,service1757757878317,1,8255,534,13680,351,1212,24032
clique,20,14,2,clique/20-mecs/consumer_14_run_2.csv,service1757755725506,1,6820,603,13283,353,1181,22241
clique,20,14,20,clique/20-mecs/consumer_14_run_20.csv,service1757758007318,1,8638,464,13934,271,1155,24462
clique,20,14,3,clique/20-mecs/consumer_14_run_3.csv,service1757755853527,1,8604,726,8286,367,1214,19197
clique,20,14,4,clique/20-mecs/consumer_14_run_4.csv,service1757755980709,1,10874,506,28492,331,1283,41486
clique,20,14,5,clique/20-mecs/consumer_14_run_5.csv,service1757756112560,1,8860,463,13606,312,1185,24426
clique,20,14,6,clique/20-mecs/consumer_14_run_6.csv,service1757755853527,1,8604,726,8286,367,1214,19197
clique,20,14,7,clique/20-mecs/consumer_14_run_7.csv,service1757755853527,1,8604,726,8286,367,1214,19197
clique,20,14,8,clique/20-mecs/consumer_14_run_8.csv,service1757755853527,1,8604,726,8286,367,1214,19197
clique,20,14,9,clique/20-mecs/consumer_14_run_9.csv,service1757756578660,1,8527,392,8812,390,1159,19285
clique,20,15,1,clique/20-mecs/consumer_15_run_1.csv,service1757755598814,1,8316,673,7449,510,1223,18171
clique,20,15,10,clique/20-mecs/consumer_15_run_10.csv,service1757756708491,1,8502,415,9038,353,1204,19512
clique,20,15,11,clique/20-mecs/consumer_15_run_11.csv,service1757756837838,1,9115,559,8792,346,1198,20012
clique,20,15,12,clique/20-mecs/consumer_15_run_12.csv,service1757756967416,1,8917,405,13697,323,1219,24561
clique,20,15,13,clique/20-mecs/consumer_15_run_13.csv,service1757757096635,1,10454,536,13469,295,1192,25947
clique,20,15,14,clique/20-mecs/consumer_15_run_14.csv,service1757757225656,1,10673,481,13815,339,1164,26472
clique,20,15,15,clique/20-mecs/consumer_15_run_15.csv,service1757757357253,1,9601,375,8646,385,1186,20193
clique,20,15,16,clique/20-mecs/consumer_15_run_16.csv,service1757757490403,1,6389,428,13712,304,1238,22072
clique,20,15,17,clique/20-mecs/consumer_15_run_17.csv,service1757757615742,1,10912,369,38994,286,1178,51744
clique,20,15,18,clique/20-mecs/consumer_15_run_18.csv,service1757757747704,1,9483,416,13646,351,1311,25207
clique,20,15,19,clique/20-mecs/consumer_15_run_19.csv,service1757757878497,1,8099,596,13754,364,1243,24056
clique,20,15,2,clique/20-mecs/consumer_15_run_2.csv,service1757755725902,1,6785,596,8444,296,1170,17291
clique,20,15,20,clique/20-mecs/consumer_15_run_20.csv,service1757758007263,1,8622,471,10020,358,1195,20667
clique,20,15,3,clique/20-mecs/consumer_15_run_3.csv,service1757755853342,1,8648,680,13524,408,1196,24457
clique,20,15,4,clique/20-mecs/consumer_15_run_4.csv,service1757755980831,1,10775,495,23465,274,1182,36192
clique,20,15,5,clique/20-mecs/consumer_15_run_5.csv,service1757756112718,1,8911,622,8490,264,1167,19454
clique,20,15,6,clique/20-mecs/consumer_15_run_6.csv,service1757755853342,1,8648,680,13524,408,1196,24457
clique,20,15,7,clique/20-mecs/consumer_15_run_7.csv,service1757755853342,1,8648,680,13524,408,1196,24457
clique,20,15,8,clique/20-mecs/consumer_15_run_8.csv,service1757755853342,1,8648,680,13524,408,1196,24457
clique,20,15,9,clique/20-mecs/consumer_15_run_9.csv,service1757756578294,1,8753,401,13650,322,1256,24382
clique,20,16,1,clique/20-mecs/consumer_16_run_1.csv,service1757755598152,1,8134,457,33519,988,1050,44148
clique,20,16,10,clique/20-mecs/consumer_16_run_10.csv,service1757756708391,1,8128,310,39328,987,1051,49804
