consensus,mec_count,consumer_id,run_id,file,service_id,has_success,c_bid_collection_ms,c_winner_selection_ms,c_provider_deploy_ms,c_vxlan_setup_ms,c_postcheck_ms,c_total_ms
clique,10,5,9,clique/10-mecs/consumer_5_run_9.csv,service1757681746107,1,10646,134,19891,333,1089,32093
clique,10,6,1,clique/10-mecs/consumer_6_run_1.csv,service1757681150802,1,16631,93,19921,309,1066,38021
clique,10,6,10,clique/10-mecs/consumer_6_run_10.csv,service1757681817917,1,19524,111,19862,305,1067,40869
clique,10,6,11,clique/10-mecs/consumer_6_run_11.csv,service1757681891777,1,10093,116,19883,340,1117,31549
clique,10,6,12,clique/10-mecs/consumer_6_run_12.csv,service1757681965204,1,16253,114,19927,347,1067,37708
clique,10,6,13,clique/10-mecs/consumer_6_run_13.csv,service1757682036524,1,15529,94,19897,321,1072,36913
clique,10,6,14,clique/10-mecs/consumer_6_run_14.csv,service1757682109680,1,17921,81,19952,269,1074,39298
clique,10,6,15,clique/10-mecs/consumer_6_run_15.csv,service1757682181969,1,20124,89,19877,262,1078,41430
clique,10,6,16,clique/10-mecs/consumer_6_run_16.csv,service1757682258757,1,18891,102,19880,303,1059,40236
clique,10,6,17,clique/10-mecs/consumer_6_run_17.csv,service1757682331378,1,15150,96,19934,310,1126,36616
clique,10,6,18,clique/10-mecs/consumer_6_run_18.csv,service1757682402669,1,19599,102,19848,309,1081,40939
clique,10,6,19,clique/10-mecs/consumer_6_run_19.csv,service1757682476175,1,20017,91,19945,279,1073,41406
clique,10,6,2,clique/10-mecs/consumer_6_run_2.csv,service1757681222158,1,19855,120,19910,304,1058,41247
clique,10,6,20,clique/10-mecs/consumer_6_run_20.csv,service1757682553270,1,18726,98,19914,309,1067,40114
clique,10,6,3,clique/10-mecs/consumer_6_run_3.csv,service1757681297450,1,19603,126,19818,347,1068,40962
clique,10,6,4,clique/10-mecs/consumer_6_run_4.csv,service1757681372698,1,19939,89,19990,327,1072,41417
clique,10,6,5,clique/10-mecs/consumer_6_run_5.csv,service1757681446493,1,15146,121,19944,374,1068,36654
clique,10,6,6,clique/10-mecs/consumer_6_run_6.csv,service1757681522442,1,19503,123,19881,333,1072,40912
clique,10,6,7,clique/10-mecs/consumer_6_run_7.csv,service1757681597726,1,19850,85,19875,321,1072,41204
clique,10,6,8,clique/10-mecs/consumer_6_run_8.csv,service1757681672994,1,19438,145,19892,314,1082,40871
