step,timestamp
announce_received_service04cfcfac,4205
announce_received_service7a80eeb3,4224
announce_received_serviceb1af29fd,4243
announce_received_service2fe6d041,4261
announce_received_servicec002e29e,4281
announce_received_service2ffefd33,4300
announce_received_service9cbd9ac8,4320
announce_received_servicea37455db,4339
announce_received_service6b046ffd,4360
announce_received_service97dac929,4386
announce_received_servicedca2c48b,4408
announce_received_service66acc020,4431
required_announces_received,4432
bid_offer_sent_service04cfcfac,4813
bid_offer_sent_service7a80eeb3,5169
bid_offer_sent_serviceb1af29fd,5358
bid_offer_sent_service2fe6d041,5542
bid_offer_sent_servicec002e29e,5739
bid_offer_sent_service2ffefd33,5898
bid_offer_sent_service9cbd9ac8,6074
bid_offer_sent_servicea37455db,6213
bid_offer_sent_service6b046ffd,6398
bid_offer_sent_service97dac929,6559
bid_offer_sent_servicedca2c48b,6751
bid_offer_sent_service66acc020,6992
all_bid_offers_sent,6993
winner_received_service2ffefd33,14159
winner_received_service9cbd9ac8,14184
winner_received_servicea37455db,14210
winner_received_service6b046ffd,14233
winner_received_service97dac929,14250
winner_received_servicedca2c48b,14265
winner_received_service66acc020,14282
winner_received_service04cfcfac,14565
winner_received_service2fe6d041,14586
winner_received_serviceb1af29fd,14611
winner_received_servicec002e29e,14631
winner_received_service7a80eeb3,14648
all_winners_received,14648
other_provider_choosen_service04cfcfac,14672
other_provider_choosen_service7a80eeb3,14702
other_provider_choosen_serviceb1af29fd,14726
other_provider_choosen_service2fe6d041,14747
other_provider_choosen_servicec002e29e,14767
other_provider_choosen_service2ffefd33,14789
other_provider_choosen_service9cbd9ac8,14810
other_provider_choosen_servicea37455db,14837
other_provider_choosen_service6b046ffd,14867
other_provider_choosen_service97dac929,14897
other_provider_choosen_servicedca2c48b,14936
other_provider_choosen_service66acc020,14987
no_wins,14987
