step,timestamp
announce_received_servicee2348452,4113
announce_received_service2b21ee24,4136
announce_received_service23eec435,4159
announce_received_servicecb9d126e,4182
announce_received_serviced54156d2,4206
announce_received_service470918a5,4230
announce_received_serviceacebd03d,4252
announce_received_service31295b03,4278
announce_received_service4c8b8f8f,4303
announce_received_service15cfabee,4329
announce_received_service1867ceb4,4350
announce_received_service49c29bcf,4379
required_announces_received,4380
bid_offer_sent_servicee2348452,4721
bid_offer_sent_service2b21ee24,4974
bid_offer_sent_service23eec435,5276
bid_offer_sent_servicecb9d126e,5617
bid_offer_sent_serviced54156d2,5910
bid_offer_sent_service470918a5,6173
bid_offer_sent_serviceacebd03d,6470
bid_offer_sent_service31295b03,6748
bid_offer_sent_service4c8b8f8f,6981
bid_offer_sent_service15cfabee,7262
bid_offer_sent_service1867ceb4,7446
bid_offer_sent_service49c29bcf,7626
all_bid_offers_sent,7626
winner_received_serviceacebd03d,13981
winner_received_service31295b03,14020
winner_received_service4c8b8f8f,14058
winner_received_service15cfabee,14107
winner_received_service1867ceb4,14148
winner_received_service49c29bcf,14195
winner_received_service2b21ee24,14524
winner_received_service23eec435,14552
winner_received_serviced54156d2,14615
winner_received_servicee2348452,14685
winner_received_servicecb9d126e,14734
winner_received_service470918a5,14781
all_winners_received,14781
other_provider_choosen_servicee2348452,14826
other_provider_choosen_service2b21ee24,14868
other_provider_choosen_service23eec435,14893
other_provider_choosen_servicecb9d126e,14919
other_provider_choosen_serviced54156d2,14950
other_provider_choosen_service470918a5,14995
other_provider_choosen_serviceacebd03d,15023
other_provider_choosen_service31295b03,15047
other_provider_choosen_service4c8b8f8f,15073
other_provider_choosen_service15cfabee,15098
other_provider_choosen_service1867ceb4,15124
other_provider_choosen_service49c29bcf,15147
no_wins,15147
