step,timestamp
service_announced,52
bid_received_1,7802
bid_received_1,8043
bid_received_1,8279
bid_received_1,8517
bid_received_1,8770
bid_received_1,9012
bid_received_1,9252
bid_received_1,9493
bid_received_1,9746
bid_received_1,9985
bid_received_1,10225
bid_received_1,10466
bid_received_1,10701
bid_received_1,10936
bid_received_1,11174
bid_received_1,11416
bid_received_1,11656
bid_received_1,11894
bid_received_1,12135
bid_received_1,12381
bid_received_1,12621
bid_received_2,12621
required_bids_received,12621
winner_choosen,12916
confirm_deployment_received,42419
establish_vxlan_connection_with_provider_start,42419
establish_vxlan_connection_with_provider_finished,43030
connection_test_success,44086
service_id,servicecc940f8f
