timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1758051798354,2.9,485.98,3911.95,12.42,1.305,26.848,6.644,6.388
1758051799357,5.65,485.98,3911.95,12.42,1.305,26.883,6.652,6.398
1758051800360,2.76,485.98,3911.95,12.42,1.305,26.883,6.652,6.398
1758051801364,3.06,485.98,3911.95,12.42,1.305,26.914,6.652,6.399
1758051802367,2.94,485.98,3911.95,12.42,1.305,26.914,6.652,6.4
1758051803369,5.31,485.98,3911.95,12.42,1.305,26.914,6.652,6.4
1758051804372,5.09,485.98,3911.95,12.42,1.305,26.914,6.661,6.408
1758051805374,3.1,485.98,3911.95,12.42,1.305,26.914,6.661,6.41
1758051806377,2.82,485.98,3911.95,12.42,1.305,26.914,6.661,6.41
1758051807379,3.32,485.98,3911.95,12.42,1.305,26.914,6.661,6.411
1758051808383,5.55,485.98,3911.95,12.42,1.305,26.914,6.661,6.411
1758051809385,4.85,486.03,3911.95,12.42,1.305,26.914,6.67,6.42
1758051810388,2.84,485.98,3911.95,12.42,1.305,26.914,6.67,6.421
1758051811390,2.91,485.98,3911.95,12.42,1.305,26.914,6.67,6.421
1758051812393,3.17,485.98,3911.95,12.42,1.305,26.914,6.67,6.421
1758051813395,7.27,485.98,3911.95,12.42,1.305,26.914,6.67,6.421
1758051814399,4.47,486.16,3911.95,12.43,1.305,26.914,6.678,6.43
1758051815402,3.27,486.08,3911.95,12.43,1.305,26.914,6.679,6.431
1758051816404,4.7,486.08,3911.95,12.43,1.305,26.914,6.697,6.434
1758051817407,3.49,486.08,3911.95,12.43,1.305,26.914,6.697,6.435
1758051818410,5.45,486.08,3911.95,12.43,1.305,26.914,6.697,6.435
1758051819412,4.37,486.09,3911.95,12.43,1.305,26.914,6.705,6.444
1758051820414,2.61,486.09,3911.95,12.43,1.305,26.914,6.705,6.444
1758051821416,2.95,486.09,3911.95,12.43,1.305,26.914,6.705,6.445
1758051822419,2.87,486.09,3911.95,12.43,1.305,26.914,6.705,6.446
1758051823438,21.15,486.21,3911.95,12.43,1.305,26.914,6.753,6.502
1758051824440,32.08,488.16,3911.95,12.48,1.305,26.914,6.82,6.57
1758051825456,44.87,498.48,3911.95,12.74,1.305,26.914,6.899,6.645
1758051826464,56.62,498.05,3911.95,12.73,1.305,26.914,7.063,6.806
1758051827467,13.49,498.11,3911.95,12.73,1.305,26.914,7.089,6.834
1758051828469,6.2,498.11,3911.95,12.73,1.305,26.914,7.091,6.835
1758051829472,35.91,498.88,3911.95,12.75,1.305,26.914,7.202,6.962
1758051830475,36.43,499.15,3911.95,12.76,1.305,26.914,7.274,7.025
1758051831478,13.88,490.7,3911.95,12.54,1.305,26.93,7.289,7.038
1758051832481,5.51,490.7,3911.95,12.54,1.305,26.93,7.294,7.042
1758051833483,7.64,488.63,3911.95,12.49,1.305,26.93,7.298,7.044
1758051834485,10.61,488.47,3911.95,12.49,1.305,26.93,7.338,7.083
1758051835489,5.07,488.47,3911.95,12.49,1.305,26.93,7.344,7.088
1758051836492,6.11,488.53,3911.95,12.49,1.305,27.328,7.353,7.094
1758051837494,34.03,497.64,3911.95,12.72,1.305,27.328,7.357,7.098
1758051838497,7.94,497.71,3911.95,12.72,1.305,27.328,7.367,7.105
1758051839499,8.61,497.73,3911.95,12.72,1.305,27.328,7.386,7.124
1758051840510,6.24,497.87,3911.95,12.73,1.305,27.328,7.394,7.129
1758051841511,15.98,497.85,3911.95,12.73,1.305,27.328,7.401,7.136
1758051842515,7.53,497.92,3911.95,12.73,1.305,27.328,7.41,7.143
1758051843517,7.74,497.85,3911.95,12.73,1.305,27.328,7.416,7.146
1758051844519,14.62,498.12,3911.95,12.73,1.305,27.328,7.435,7.164
1758051845523,5.67,498.12,3911.95,12.73,1.305,27.328,7.444,7.171
1758051846526,7.89,498.12,3911.95,12.73,1.305,27.328,7.468,7.179
1758051847528,9.28,498.19,3911.95,12.74,1.305,27.371,7.478,7.187
1758051848531,7.84,498.12,3911.95,12.73,1.305,27.371,7.482,7.189
1758051849533,7.49,498.14,3911.95,12.73,1.305,27.371,7.501,7.206
1758051850536,7.25,498.07,3911.95,12.73,1.305,27.371,7.511,7.215
1758051851539,4.62,498.07,3911.95,12.73,1.305,27.371,7.516,7.218
1758051852542,5.11,498.07,3911.95,12.73,1.305,27.406,7.525,7.226
1758051853545,7.9,498.08,3911.95,12.73,1.305,27.406,7.531,7.231
1758051854548,17.34,491.94,3911.95,12.58,1.305,27.406,7.556,7.255
1758051855550,4.97,491.86,3911.95,12.57,1.305,27.406,7.561,7.258
1758051856553,4.93,491.93,3911.95,12.58,1.305,27.406,7.57,7.265
1758051857556,4.71,491.87,3911.95,12.57,1.305,27.449,7.575,7.268
1758051858558,9.14,491.94,3911.95,12.58,1.305,27.449,7.585,7.277
1758051859561,6.99,491.96,3911.95,12.58,1.305,27.449,7.604,7.295
1758051860563,4.96,491.88,3911.95,12.57,1.305,27.449,7.609,7.298
1758051861566,5.96,491.89,3911.95,12.57,1.305,27.449,7.618,7.306
1758051862571,25.58,501.72,3911.95,12.83,1.305,27.484,7.623,7.31
1758051863573,9.87,482.52,3911.95,12.33,1.305,27.484,7.631,7.317
1758051864576,8.4,482.52,3911.95,12.33,1.305,27.484,7.651,7.334
1758051865579,4.52,482.52,3911.95,12.33,1.305,27.484,7.656,7.341
1758051866582,3.42,482.52,3911.95,12.33,1.305,27.484,7.656,7.341
1758051867585,5.0,482.59,3911.95,12.34,1.305,27.52,7.661,7.346
1758051868588,5.5,482.52,3911.95,12.33,1.305,27.52,7.661,7.346
1758051869591,6.17,482.54,3911.95,12.34,1.305,27.52,7.676,7.362
1758051870594,4.79,482.54,3911.95,12.34,1.305,27.52,7.681,7.367
1758051871596,3.33,482.54,3911.95,12.34,1.305,27.52,7.681,7.368
1758051872599,2.51,482.54,3911.95,12.34,1.305,27.555,7.681,7.368
1758051873603,5.57,482.54,3911.95,12.34,1.305,27.555,7.681,7.368
1758051874606,8.49,482.88,3911.95,12.34,1.305,27.555,7.694,7.381
1758051875609,3.4,482.88,3911.95,12.34,1.305,27.555,7.694,7.382
1758051876612,10.2,482.93,3911.95,12.35,1.305,27.555,7.712,7.385
