timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757756331484,3.97,353.45,3911.96,9.04,8.547,28.281,9.213,8.911
1757756332487,2.04,353.45,3911.96,9.04,8.547,28.281,9.213,8.912
1757756333490,1.89,353.45,3911.96,9.04,8.547,28.281,9.213,8.912
1757756334492,1.83,353.45,3911.96,9.04,8.547,28.309,9.213,8.915
1757756335495,1.93,353.45,3911.96,9.04,8.547,28.309,9.213,8.915
1757756336504,6.14,353.47,3911.96,9.04,8.547,28.309,9.222,8.924
1757756337506,1.68,353.46,3911.96,9.04,8.547,28.309,9.222,8.924
1757756338509,2.09,353.46,3911.96,9.04,8.547,28.309,9.222,8.924
1757756339513,5.73,353.48,3911.96,9.04,8.547,28.336,9.24,8.927
1757756340514,1.97,353.48,3911.96,9.04,8.547,28.336,9.24,8.927
1757756341519,7.59,354.02,3911.96,9.05,8.547,28.336,9.248,8.935
1757756342521,2.32,353.98,3911.96,9.05,8.547,28.336,9.248,8.936
1757756343524,1.92,353.98,3911.96,9.05,8.547,28.336,9.249,8.937
1757756344527,2.01,353.97,3911.96,9.05,8.547,28.363,9.249,8.938
1757756345529,2.05,353.96,3911.96,9.05,8.547,28.363,9.249,8.938
1757756346533,6.53,355.01,3911.96,9.07,8.547,28.363,9.257,8.946
1757756347536,2.35,355.0,3911.96,9.07,8.547,28.363,9.258,8.95
1757756348540,2.19,355.0,3911.96,9.07,8.547,28.363,9.258,8.95
1757756349544,2.04,355.0,3911.96,9.07,8.547,28.395,9.258,8.95
1757756350546,2.18,355.0,3911.96,9.07,8.547,28.395,9.258,8.95
1757756351549,7.94,355.01,3911.96,9.07,8.547,28.395,9.267,8.959
1757756352551,2.13,355.0,3911.96,9.07,8.547,28.395,9.267,8.96
1757756353553,2.05,355.0,3911.96,9.07,8.547,28.395,9.267,8.96
1757756354556,2.15,355.0,3911.96,9.07,8.547,28.422,9.267,8.961
1757756355559,1.91,354.81,3911.96,9.07,8.547,28.422,9.267,8.961
