timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1758051532754,0.27,348.93,3911.85,8.92,0.0,27.605,4.601,4.458
1758051533758,2.07,348.93,3911.85,8.92,0.0,27.605,4.601,4.458
1758051534760,4.89,348.94,3911.85,8.92,0.0,27.605,4.609,4.466
1758051535763,2.73,348.94,3911.85,8.92,0.0,27.605,4.61,4.468
1758051536765,4.0,348.94,3911.85,8.92,0.0,27.605,4.61,4.469
1758051537768,2.07,348.94,3911.85,8.92,0.0,27.605,4.61,4.469
1758051538770,1.99,348.94,3911.85,8.92,0.0,27.605,4.61,4.47
1758051539774,5.99,350.9,3911.85,8.97,0.0,27.605,4.618,4.479
1758051540777,1.82,350.89,3911.85,8.97,0.0,27.605,4.618,4.48
1758051541779,3.95,350.89,3911.85,8.97,0.0,27.605,4.619,4.481
1758051542782,2.13,350.89,3911.85,8.97,0.0,27.605,4.619,4.481
1758051543785,1.99,350.89,3911.85,8.97,0.0,27.605,4.619,4.481
1758051544788,5.01,344.01,3911.85,8.79,0.0,27.605,4.627,4.491
1758051545792,2.06,344.0,3911.85,8.79,0.0,27.605,4.627,4.492
1758051546795,4.32,344.0,3911.85,8.79,0.0,27.605,4.628,4.494
1758051547798,2.06,344.0,3911.85,8.79,0.0,27.605,4.628,4.494
1758051548804,2.05,344.0,3911.85,8.79,0.0,27.605,4.628,4.495
1758051549806,9.7,347.65,3911.85,8.89,0.0,27.605,4.636,4.504
1758051550809,1.82,347.64,3911.85,8.89,0.0,27.605,4.637,4.505
1758051551812,3.57,347.64,3911.85,8.89,0.0,27.621,4.637,4.505
1758051552816,2.45,347.64,3911.85,8.89,0.0,27.621,4.637,4.507
1758051553819,5.09,347.64,3911.85,8.89,0.0,27.621,4.655,4.51
1758051554822,4.39,347.65,3911.85,8.89,0.0,27.621,4.664,4.52
1758051555824,2.02,347.64,3911.85,8.89,0.0,27.621,4.664,4.52
1758051556826,3.5,347.64,3911.85,8.89,0.0,27.648,4.664,4.52
1758051557829,26.83,347.87,3911.85,8.89,0.0,27.648,4.731,4.589
1758051558831,3.06,347.84,3911.85,8.89,0.0,27.648,4.734,4.592
1758051559834,30.25,349.11,3911.85,8.92,0.0,27.648,4.794,4.647
1758051560836,91.32,355.9,3911.85,9.1,0.0,27.648,4.994,4.849
1758051561839,100.31,363.77,3911.85,9.3,0.0,27.648,5.136,4.989
1758051562843,35.95,359.59,3911.85,9.19,0.0,27.648,5.175,5.013
1758051563846,20.33,359.58,3911.85,9.19,0.0,27.648,5.206,5.033
1758051564849,46.66,360.62,3911.85,9.22,0.0,27.648,5.348,5.178
1758051565851,60.2,361.23,3911.85,9.23,0.0,27.648,5.453,5.255
1758051566853,59.04,379.28,3911.85,9.7,0.0,27.648,5.493,5.286
1758051567855,58.56,376.35,3911.85,9.62,0.0,27.648,5.535,5.311
1758051568857,45.24,376.64,3911.85,9.63,0.0,27.648,5.569,5.335
1758051569859,36.19,376.89,3911.85,9.63,0.0,28.004,5.633,5.389
1758051570862,2.16,376.89,3911.85,9.63,0.0,28.016,5.633,5.39
1758051571865,6.74,376.88,3911.85,9.63,0.0,28.016,5.643,5.402
1758051572867,2.08,376.88,3911.85,9.63,0.0,28.051,5.643,5.402
