timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1758029370410,0.21,356.14,3911.96,9.1,0.016,26.867,4.597,4.014
1758029371413,3.06,356.14,3911.96,9.1,0.016,26.867,4.597,4.014
1758029372416,7.17,356.66,3911.96,9.12,0.016,26.867,4.601,4.018
1758029373419,6.36,356.61,3911.96,9.12,0.016,26.867,4.601,4.018
1758029374425,5.03,356.61,3911.96,9.12,0.016,26.867,4.602,4.019
1758029375428,3.69,356.62,3911.96,9.12,0.016,26.867,4.602,4.02
1758029376430,3.06,356.62,3911.96,9.12,0.016,26.867,4.602,4.02
1758029377433,4.94,356.63,3911.96,9.12,0.016,26.867,4.606,4.024
1758029378436,6.5,356.63,3911.96,9.12,0.016,26.867,4.606,4.025
1758029379441,3.36,356.63,3911.96,9.12,0.016,26.914,4.606,4.025
1758029380444,4.33,356.63,3911.96,9.12,0.016,26.914,4.606,4.025
1758029381447,19.81,356.66,3911.96,9.12,0.016,26.914,4.63,4.047
1758029382451,13.9,346.27,3911.96,8.85,0.016,26.914,4.646,4.062
1758029383453,22.66,346.98,3911.96,8.87,0.016,26.914,4.682,4.095
1758029384456,4.82,346.98,3911.96,8.87,0.016,26.914,4.684,4.096
1758029385460,4.84,346.98,3911.96,8.87,0.016,26.914,4.687,4.098
1758029386462,4.65,346.98,3911.96,8.87,0.016,26.914,4.689,4.1
1758029387467,17.37,347.29,3911.96,8.88,0.016,26.914,4.712,4.123
1758029388469,20.11,347.2,3911.96,8.88,0.016,26.914,4.736,4.143
1758029389472,12.23,345.95,3911.96,8.84,0.016,26.914,4.741,4.146
1758029390475,9.22,345.95,3911.96,8.84,0.016,26.914,4.747,4.149
1758029391478,6.15,345.95,3911.96,8.84,0.016,26.914,4.752,4.153
1758029392481,20.53,349.07,3911.96,8.92,0.016,26.914,4.767,4.166
1758029393484,30.21,358.25,3911.96,9.16,0.016,26.914,4.782,4.173
1758029394491,10.1,358.21,3911.96,9.16,0.016,26.914,4.791,4.179
1758029395494,6.59,358.17,3911.96,9.16,0.016,26.914,4.797,4.184
1758029396499,11.81,354.91,3911.96,9.07,0.016,26.914,4.804,4.189
1758029397502,9.91,355.07,3911.96,9.08,0.016,26.914,4.823,4.206
1758029398505,8.08,355.04,3911.96,9.08,0.016,26.914,4.825,4.208
1758029399508,3.32,355.04,3911.96,9.08,0.016,26.914,4.825,4.209
1758029400510,4.04,355.04,3911.96,9.08,0.016,26.914,4.825,4.209
1758029401512,3.44,355.04,3911.96,9.08,0.016,26.914,4.825,4.209
1758029402514,5.72,355.06,3911.96,9.08,0.016,26.914,4.832,4.216
1758029403518,6.79,355.05,3911.96,9.08,0.016,26.914,4.832,4.216
1758029404522,3.53,355.05,3911.96,9.08,0.016,26.914,4.832,4.217
1758029405525,4.75,355.05,3911.96,9.08,0.016,26.914,4.833,4.217
1758029406527,3.57,355.06,3911.96,9.08,0.016,26.914,4.833,4.217
1758029407531,5.02,355.07,3911.96,9.08,0.016,26.914,4.836,4.221
1758029408534,6.16,355.07,3911.96,9.08,0.016,26.914,4.837,4.222
1758029409535,4.07,355.06,3911.96,9.08,0.016,26.914,4.837,4.222
1758029410538,3.82,355.06,3911.96,9.08,0.016,26.93,4.837,4.223
