timestamp,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1757682542590,4.95,377.49,3911.94,9.65,0.164,33.227,31.347,25.638
1757682543593,4.04,377.49,3911.94,9.65,0.164,33.262,31.347,25.638
1757682544596,4.27,377.49,3911.94,9.65,0.164,33.262,31.347,25.638
1757682545599,3.89,377.49,3911.94,9.65,0.164,33.262,31.347,25.639
1757682546602,3.63,377.49,3911.94,9.65,0.164,33.262,31.347,25.639
1757682547605,9.35,377.5,3911.94,9.65,0.164,33.262,31.351,25.644
1757682548607,3.49,377.5,3911.94,9.65,0.164,33.262,31.351,25.644
1757682549610,3.27,377.5,3911.94,9.65,0.164,33.262,31.351,25.644
1757682550612,3.95,377.5,3911.94,9.65,0.164,33.262,31.352,25.644
1757682551615,3.38,377.5,3911.94,9.65,0.164,33.262,31.352,25.644
1757682552617,7.55,377.5,3911.94,9.65,0.164,33.262,31.356,25.648
1757682553621,22.64,377.5,3911.94,9.65,0.164,33.262,31.394,25.678
1757682554626,23.02,377.46,3911.94,9.65,0.164,33.262,31.493,25.748
1757682555629,24.73,377.47,3911.94,9.65,0.164,33.262,31.59,25.815
1757682556631,23.22,377.46,3911.94,9.65,0.164,33.262,31.7,25.892
1757682557634,57.43,378.07,3911.94,9.66,0.164,33.262,31.814,25.979
1757682558638,23.46,377.92,3911.94,9.66,0.164,33.262,31.924,26.054
1757682559642,21.64,377.91,3911.94,9.66,0.164,33.262,32.034,26.128
1757682560646,22.32,377.92,3911.94,9.66,0.164,33.262,32.141,26.202
1757682561650,27.14,377.92,3911.94,9.66,0.164,33.262,32.259,26.279
1757682562652,39.35,349.34,3911.94,8.93,0.164,33.262,32.339,26.346
1757682563657,5.5,349.34,3911.94,8.93,0.164,33.262,32.348,26.351
1757682564661,6.62,349.34,3911.94,8.93,0.164,33.262,32.356,26.356
1757682565664,5.36,349.34,3911.94,8.93,0.164,33.262,32.366,26.362
1757682566667,6.3,349.34,3911.94,8.93,0.164,33.262,32.376,26.368
1757682567670,20.45,348.0,3911.94,8.9,0.164,33.262,32.411,26.399
1757682568673,6.73,347.96,3911.94,8.89,0.164,33.262,32.421,26.405
1757682569676,7.15,347.96,3911.94,8.89,0.164,33.262,32.431,26.412
1757682570679,5.33,347.96,3911.94,8.89,0.164,33.262,32.44,26.417
1757682571681,8.85,347.98,3911.94,8.9,0.164,33.262,32.449,26.422
1757682572683,25.26,350.83,3911.94,8.97,0.164,33.262,32.473,26.442
1757682573685,6.6,347.85,3911.94,8.89,0.164,33.262,32.483,26.448
1757682574689,7.2,347.85,3911.94,8.89,0.164,33.277,32.492,26.454
1757682575692,6.07,347.85,3911.94,8.89,0.164,33.277,32.502,26.46
1757682576695,5.34,347.85,3911.94,8.89,0.164,33.277,32.51,26.465
1757682577698,9.69,347.95,3911.94,8.89,0.164,33.277,32.526,26.477
1757682578701,12.54,338.8,3911.94,8.66,0.164,33.277,32.539,26.486
1757682579704,7.17,338.8,3911.94,8.66,0.164,33.527,32.55,26.493
1757682580707,6.2,338.8,3911.94,8.66,0.164,33.527,32.56,26.5
1757682581711,5.59,338.8,3911.94,8.66,0.164,33.527,32.57,26.505
1757682582713,9.06,338.84,3911.94,8.66,0.164,33.527,32.592,26.525
1757682583718,11.01,338.88,3911.94,8.66,0.164,33.527,32.596,26.529
1757682584720,3.05,338.84,3911.94,8.66,0.164,33.527,32.596,26.529
1757682585722,4.17,338.84,3911.94,8.66,0.164,33.527,32.596,26.529
1757682586725,3.24,338.84,3911.94,8.66,0.164,33.527,32.596,26.529
1757682587728,5.63,338.87,3911.94,8.66,0.164,33.527,32.606,26.54
1757682588730,8.28,338.87,3911.94,8.66,0.164,33.527,32.608,26.542
1757682589733,3.65,338.87,3911.94,8.66,0.164,33.527,32.608,26.542
1757682590736,8.06,342.07,3911.94,8.74,0.164,33.527,32.615,26.544
1757682591739,4.93,342.07,3911.94,8.74,0.164,33.527,32.615,26.544
1757682592741,4.63,342.08,3911.94,8.74,0.164,33.527,32.623,26.552
1757682593744,10.67,342.16,3911.94,8.75,0.164,33.527,32.623,26.552
1757682594746,3.53,342.16,3911.94,8.75,0.164,33.527,32.623,26.553
